Group,GroupSize,HomePlanet,CryoSleep,Destination,Age,VIP,Deck,Num,Side,Transported,TotalSpending
0020,6,Earth,True,PSO J318.5-22,1.0,False,E,0,S,False,0.0
0020,6,Earth,False,TRAPPIST-1e,7.0,False,E,0,S,False,0.0
0022,1,Mars,False,TRAPPIST-1e,21.0,False,D,0,P,False,1051.0
0024,1,Europa,True,TRAPPIST-1e,62.0,False,C,2,S,True,0.0
0025,1,Earth,False,TRAPPIST-1e,15.0,False,F,6,S,False,1223.0
0026,1,Europa,False,55 Cancri e,34.0,False,C,0,P,False,7861.0
0028,1,Mars,False,TRAPPIST-1e,43.0,False,F,8,P,False,1309.0
0030,1,Earth,False,TRAPPIST-1e,32.0,False,G,4,S,False,1821.0
0031,3,Mars,False,TRAPPIST-1e,47.0,False,F,9,P,True,2854.0
0031,3,Mars,False,TRAPPIST-1e,2.0,False,F,9,P,True,0.0
0031,3,Mars,False,TRAPPIST-1e,20.0,False,F,9,P,True,2740.0
0034,1,Europa,True,55 Cancri e,28.0,False,D,1,S,True,0.0
0035,1,Mars,False,55 Cancri e,23.0,False,D,1,P,False,2699.0
0036,1,Earth,False,55 Cancri e,15.0,False,F,8,S,False,961.0
0038,1,Earth,False,55 Cancri e,20.0,False,F,10,S,False,3355.0
0039,1,Earth,True,55 Cancri e,30.0,False,G,1,P,False,0.0
0041,1,Earth,True,TRAPPIST-1e,17.0,False,G,2,P,True,0.0
0043,1,Europa,False,TRAPPIST-1e,45.0,False,B,3,P,False,3575.0
0044,3,Earth,True,TRAPPIST-1e,55.0,False,G,3,P,False,0.0
0044,3,Earth,True,55 Cancri e,4.0,False,G,3,P,True,0.0
0044,3,Earth,True,PSO J318.5-22,21.0,False,G,3,P,True,0.0
0045,2,Mars,False,TRAPPIST-1e,21.0,False,F,10,P,False,1214.0
0045,2,Mars,True,TRAPPIST-1e,19.0,False,F,10,P,True,0.0
0050,1,Earth,False,55 Cancri e,35.0,False,E,1,S,False,790.0
0051,1,Earth,False,TRAPPIST-1e,56.0,False,E,2,S,False,1618.0
0052,1,Earth,False,TRAPPIST-1e,29.0,False,G,6,S,False,4689.0
0053,1,Earth,False,TRAPPIST-1e,25.0,False,F,11,S,True,1939.0
0056,3,Europa,False,TRAPPIST-1e,2.0,False,A,1,S,True,0.0
0056,3,Europa,True,TRAPPIST-1e,38.0,False,A,1,S,True,0.0
0056,3,Europa,False,TRAPPIST-1e,27.0,False,A,1,S,True,4547.0
0058,1,Earth,True,PSO J318.5-22,36.0,False,G,7,S,False,0.0
0061,1,Earth,False,TRAPPIST-1e,22.0,False,F,12,S,False,2667.0
0062,1,Earth,False,TRAPPIST-1e,62.0,False,F,13,S,False,634.0
0064,2,Mars,True,TRAPPIST-1e,15.0,False,F,14,S,True,0.0
0064,2,Mars,True,TRAPPIST-1e,33.0,False,E,3,S,True,0.0
0066,1,Earth,False,TRAPPIST-1e,62.0,False,G,6,P,False,811.0
0067,3,Earth,True,PSO J318.5-22,0.0,False,G,10,S,True,0.0
0067,3,Earth,False,TRAPPIST-1e,18.0,False,G,10,S,True,705.0
0067,3,Earth,False,55 Cancri e,21.0,False,F,15,S,False,2007.0
0068,1,Mars,False,TRAPPIST-1e,29.0,False,E,4,S,False,1048.0
0069,1,Earth,False,TRAPPIST-1e,42.0,False,F,16,S,True,902.0
0070,1,Earth,False,TRAPPIST-1e,19.0,False,F,13,P,False,922.0
0071,1,Earth,False,TRAPPIST-1e,17.0,False,F,14,P,False,2233.0
0072,1,Earth,False,TRAPPIST-1e,14.0,False,F,17,S,False,1064.0
0073,1,Mars,False,PSO J318.5-22,37.0,False,D,3,P,False,879.0
0074,1,Europa,False,TRAPPIST-1e,42.0,False,C,3,S,True,8904.0
0076,1,Mars,False,TRAPPIST-1e,27.0,False,F,18,S,True,1165.0
0077,1,Mars,False,TRAPPIST-1e,28.0,False,F,15,P,True,1309.0
0078,1,Europa,False,TRAPPIST-1e,38.0,False,C,4,S,False,15815.0
0081,1,Earth,True,TRAPPIST-1e,13.0,False,G,13,S,False,0.0
0082,3,Mars,False,TRAPPIST-1e,42.0,False,F,16,P,False,7406.0
0082,3,Mars,True,TRAPPIST-1e,2.0,False,F,16,P,True,0.0
0082,3,Mars,False,TRAPPIST-1e,8.0,False,F,16,P,True,0.0
0084,1,Earth,False,TRAPPIST-1e,24.0,False,G,14,S,True,705.0
0085,1,Europa,True,TRAPPIST-1e,40.0,False,C,5,S,True,0.0
0086,1,Earth,False,TRAPPIST-1e,43.0,False,F,17,P,False,1362.0
0088,1,Mars,True,PSO J318.5-22,45.0,False,E,5,S,True,0.0
0090,1,Earth,True,TRAPPIST-1e,35.0,False,G,15,S,True,0.0
0091,2,Earth,True,TRAPPIST-1e,26.0,False,G,16,S,True,0.0
0091,2,Earth,False,TRAPPIST-1e,27.0,False,F,20,S,False,917.0
0092,3,Earth,False,TRAPPIST-1e,19.0,False,G,9,P,False,705.0
0092,3,Earth,True,TRAPPIST-1e,0.0,False,G,9,P,True,0.0
0092,3,Earth,True,TRAPPIST-1e,3.0,False,G,9,P,True,0.0
0097,1,Europa,False,TRAPPIST-1e,54.0,False,A,2,S,False,1848.0
0098,2,Earth,False,TRAPPIST-1e,26.0,False,G,11,P,False,893.0
0098,2,Earth,False,TRAPPIST-1e,26.0,False,G,11,P,True,3855.0
0099,2,Earth,False,PSO J318.5-22,23.0,False,F,19,P,False,1301.0
0099,2,Earth,False,TRAPPIST-1e,2.0,False,G,12,P,True,0.0
0101,1,Mars,True,TRAPPIST-1e,31.0,False,F,933,P,True,0.0
0102,1,Earth,False,TRAPPIST-1e,18.0,False,F,23,S,False,921.0
0103,3,Earth,False,TRAPPIST-1e,24.0,False,F,24,S,True,17.0
0103,3,Earth,True,55 Cancri e,9.0,False,G,18,S,True,0.0
0103,3,Earth,True,TRAPPIST-1e,6.0,False,G,18,S,False,0.0
0105,1,Earth,False,TRAPPIST-1e,27.0,False,F,21,P,False,703.0
0107,1,Mars,False,TRAPPIST-1e,21.0,False,D,2,S,False,1765.0
0108,3,Earth,True,TRAPPIST-1e,23.0,False,G,19,S,False,0.0
0108,3,Earth,False,TRAPPIST-1e,31.0,False,G,19,S,False,888.0
0108,3,Earth,False,TRAPPIST-1e,0.0,0.0,G,19,S,True,0.0
0110,4,Europa,False,TRAPPIST-1e,32.0,False,B,5,P,False,5109.0
0110,4,Europa,False,TRAPPIST-1e,40.0,False,B,5,P,False,2018.0
0110,4,Europa,False,TRAPPIST-1e,42.0,False,B,5,P,True,15940.0
0110,4,Europa,True,TRAPPIST-1e,28.0,False,B,5,P,True,0.0
0111,1,Europa,True,TRAPPIST-1e,29.0,False,E,6,S,True,0.0
0112,1,Europa,False,55 Cancri e,48.0,True,B,1,S,True,2654.0
0113,1,Earth,False,TRAPPIST-1e,64.0,False,F,23,P,True,804.0
0114,1,Earth,False,TRAPPIST-1e,27.0,False,G,20,S,False,907.0
0115,1,Mars,False,TRAPPIST-1e,26.0,False,F,24,P,True,0.0
0116,1,Europa,False,TRAPPIST-1e,33.0,False,D,4,P,True,2640.0
0119,2,Europa,False,TRAPPIST-1e,39.0,False,A,0,P,False,9307.0
0119,2,Europa,True,TRAPPIST-1e,13.0,False,A,0,P,True,0.0
0120,1,Mars,True,TRAPPIST-1e,24.0,False,F,25,P,True,0.0
0122,1,Earth,False,TRAPPIST-1e,29.0,False,G,21,S,False,773.0
0123,1,Earth,False,TRAPPIST-1e,18.0,False,F,27,P,False,702.0
0126,1,Mars,True,TRAPPIST-1e,67.0,False,F,27,S,True,0.0
0127,1,Mars,False,TRAPPIST-1e,35.0,False,E,7,S,False,1022.0
0128,2,Mars,False,TRAPPIST-1e,61.0,True,D,3,S,False,3014.0
0128,2,Mars,False,TRAPPIST-1e,45.0,False,E,8,S,False,2109.0
0129,1,Earth,True,PSO J318.5-22,22.0,False,G,22,S,True,0.0
0133,2,Mars,True,TRAPPIST-1e,19.0,False,F,29,S,True,0.0
0133,2,Mars,False,TRAPPIST-1e,36.0,False,D,5,S,False,2738.0
0134,1,Earth,False,TRAPPIST-1e,19.0,False,G,17,P,True,744.0
0136,1,Earth,False,PSO J318.5-22,47.0,False,G,23,S,False,721.0
0138,2,Earth,True,TRAPPIST-1e,13.0,False,G,18,P,True,0.0
0138,2,Earth,False,TRAPPIST-1e,34.0,False,E,5,P,False,793.0
0139,1,Europa,True,55 Cancri e,35.0,False,C,6,S,True,0.0
0140,2,Earth,True,TRAPPIST-1e,24.0,False,G,19,P,True,0.0
0140,2,Earth,False,TRAPPIST-1e,26.0,False,F,29,P,False,902.0
0141,1,Mars,False,TRAPPIST-1e,31.0,False,F,30,P,False,97.0
0144,1,Earth,False,TRAPPIST-1e,20.0,False,F,31,S,True,630.0
0146,1,Earth,False,TRAPPIST-1e,56.0,False,G,25,S,False,0.0
0147,1,Earth,True,TRAPPIST-1e,50.0,False,G,26,S,True,0.0
0148,1,Mars,False,TRAPPIST-1e,42.0,False,F,31,P,False,1158.0
0149,1,Earth,True,55 Cancri e,29.0,False,G,27,S,True,0.0
0151,1,Earth,True,55 Cancri e,38.0,False,G,20,P,False,0.0
0152,1,Earth,False,TRAPPIST-1e,41.0,False,F,32,P,False,607.0
0160,1,Earth,False,TRAPPIST-1e,22.0,False,G,22,P,False,4180.0
0163,2,Europa,True,TRAPPIST-1e,26.0,False,B,8,P,True,0.0
0163,2,Europa,True,TRAPPIST-1e,17.0,False,B,8,P,True,0.0
0164,2,Earth,False,TRAPPIST-1e,57.0,False,G,28,S,True,1873.0
0164,2,Earth,True,PSO J318.5-22,17.0,False,G,28,S,False,0.0
0165,1,Mars,True,TRAPPIST-1e,35.0,False,F,37,P,True,0.0
0167,2,Mars,True,TRAPPIST-1e,13.0,False,F,35,S,True,0.0
0167,2,Mars,False,TRAPPIST-1e,27.0,False,F,35,S,False,1572.0
0169,1,Earth,True,TRAPPIST-1e,31.0,False,G,23,P,False,0.0
0170,1,Earth,False,TRAPPIST-1e,24.0,False,E,10,S,False,788.0
0171,1,Earth,True,PSO J318.5-22,19.0,False,G,30,S,True,0.0
0172,1,Earth,True,TRAPPIST-1e,32.0,False,G,24,P,True,0.0
0173,1,Earth,False,TRAPPIST-1e,58.0,False,E,11,S,True,990.0
0174,1,Earth,False,55 Cancri e,21.0,False,F,38,P,False,593.0
0177,1,Europa,False,TRAPPIST-1e,38.0,False,B,2,S,False,27428.0
0178,1,Mars,False,TRAPPIST-1e,38.0,False,D,6,S,False,3722.0
0179,3,Earth,False,TRAPPIST-1e,19.0,False,G,26,P,True,906.0
0179,3,Earth,False,TRAPPIST-1e,0.0,False,G,26,P,False,0.0
0179,3,Earth,False,TRAPPIST-1e,3.0,False,G,26,P,True,0.0
0181,1,Earth,False,TRAPPIST-1e,20.0,False,G,27,P,False,394.0
0182,1,Europa,True,TRAPPIST-1e,24.0,False,C,3,P,True,0.0
0183,1,Earth,False,TRAPPIST-1e,37.0,False,F,36,S,True,821.0
0186,1,Earth,False,TRAPPIST-1e,25.0,False,G,28,P,False,1018.0
0188,1,Earth,True,TRAPPIST-1e,56.0,False,G,31,S,True,0.0
0189,1,Earth,False,55 Cancri e,49.0,False,E,8,P,False,788.0
0190,1,Earth,True,55 Cancri e,11.0,False,G,32,S,False,0.0
0192,3,Earth,True,TRAPPIST-1e,1.0,False,G,29,P,True,0.0
0192,3,Earth,False,TRAPPIST-1e,8.0,False,G,29,P,False,0.0
0192,3,Earth,False,TRAPPIST-1e,39.0,False,G,29,P,False,908.0
0193,3,Mars,True,TRAPPIST-1e,2.0,False,F,41,P,True,0.0
0193,3,Mars,False,TRAPPIST-1e,23.0,False,F,41,P,False,1080.0
0193,3,Mars,False,TRAPPIST-1e,0.0,False,F,41,P,True,0.0
0195,1,Mars,False,TRAPPIST-1e,39.0,False,F,42,P,True,1273.0
0196,1,Mars,False,PSO J318.5-22,25.0,False,D,5,P,False,1778.0
0197,1,Europa,False,TRAPPIST-1e,36.0,False,C,5,P,False,2342.0
0198,1,Earth,True,PSO J318.5-22,52.0,False,G,30,P,True,0.0
0199,1,Earth,True,TRAPPIST-1e,18.0,False,G,33,S,False,0.0
0200,1,Earth,True,TRAPPIST-1e,15.0,False,G,31,P,True,0.0
0201,2,Europa,True,TRAPPIST-1e,35.0,False,B,3,S,True,0.0
0201,2,Europa,True,TRAPPIST-1e,47.0,False,B,3,S,True,0.0
0202,2,Europa,True,55 Cancri e,45.0,False,B,9,P,True,0.0
0202,2,Europa,False,55 Cancri e,29.0,False,A,2,P,True,3754.0
0203,1,Europa,True,TRAPPIST-1e,51.0,False,C,8,S,True,0.0
0205,1,Earth,False,TRAPPIST-1e,29.0,False,G,34,S,False,773.0
0206,1,Europa,False,55 Cancri e,29.0,False,C,9,S,True,2981.0
0207,1,Earth,True,PSO J318.5-22,19.0,False,G,32,P,False,0.0
0210,1,Europa,True,55 Cancri e,24.0,False,D,6,P,True,0.0
0211,3,Mars,False,TRAPPIST-1e,29.0,False,F,44,P,True,1040.0
0211,3,Mars,True,TRAPPIST-1e,11.0,False,F,44,P,True,0.0
0211,3,Mars,False,TRAPPIST-1e,17.0,False,F,44,P,False,1337.0
0212,2,Earth,False,TRAPPIST-1e,13.0,False,E,9,P,False,982.0
0212,2,Earth,False,TRAPPIST-1e,35.0,False,F,45,P,False,732.0
0213,1,Earth,False,TRAPPIST-1e,21.0,False,F,46,P,False,794.0
0216,1,Earth,False,55 Cancri e,21.0,False,F,40,S,False,1974.0
0217,1,Earth,False,TRAPPIST-1e,38.0,False,F,47,P,False,1544.0
0219,1,Earth,True,TRAPPIST-1e,19.0,False,G,36,P,True,0.0
0220,7,Earth,True,TRAPPIST-1e,2.0,False,G,37,P,True,0.0
0220,7,Earth,False,TRAPPIST-1e,0.0,False,G,37,P,True,0.0
0220,7,Earth,True,TRAPPIST-1e,13.0,False,G,37,P,False,0.0
0220,7,Earth,False,TRAPPIST-1e,25.0,False,E,10,P,False,206.0
0220,7,Earth,False,TRAPPIST-1e,16.0,False,F,48,P,False,1102.0
0220,7,Earth,False,55 Cancri e,1.0,False,G,37,P,False,0.0
0220,7,Earth,True,TRAPPIST-1e,15.0,False,G,37,P,True,0.0
0221,7,Mars,False,55 Cancri e,21.0,False,E,13,S,False,2356.0
0221,7,Mars,False,TRAPPIST-1e,23.0,False,E,13,S,False,1298.0
0221,7,Mars,False,TRAPPIST-1e,33.0,False,E,13,S,False,2134.0
0221,7,Mars,True,TRAPPIST-1e,21.0,False,E,13,S,True,0.0
0221,7,Mars,False,TRAPPIST-1e,41.0,False,E,13,S,False,2597.0
0221,7,Mars,False,TRAPPIST-1e,16.0,False,E,13,S,False,1370.0
0221,7,Mars,True,TRAPPIST-1e,42.0,False,E,13,S,False,0.0
0222,3,Mars,False,TRAPPIST-1e,20.0,False,F,41,S,False,1417.0
0222,3,Mars,True,TRAPPIST-1e,24.0,False,F,41,S,True,0.0
0222,3,Mars,True,TRAPPIST-1e,16.0,False,E,14,S,True,0.0
0223,1,Earth,False,TRAPPIST-1e,21.0,False,G,35,S,False,676.0
0224,1,Mars,False,TRAPPIST-1e,32.0,True,F,42,S,False,1820.0
0225,1,Earth,True,PSO J318.5-22,58.0,False,G,38,P,True,0.0
0229,1,Earth,False,TRAPPIST-1e,24.0,False,F,43,S,False,803.0
0231,1,Mars,False,TRAPPIST-1e,30.0,False,F,44,S,False,1806.0
0232,1,Earth,True,PSO J318.5-22,27.0,False,G,36,S,False,0.0
0233,1,Mars,False,TRAPPIST-1e,32.0,False,F,45,S,False,1750.0
0234,1,Earth,False,TRAPPIST-1e,43.0,False,F,50,P,False,888.0
0237,1,Europa,True,TRAPPIST-1e,42.0,False,B,11,P,True,0.0
0239,1,Mars,False,TRAPPIST-1e,37.0,False,F,1267,P,False,1048.0
0240,1,Mars,True,TRAPPIST-1e,35.0,False,F,52,P,True,0.0
0241,1,Europa,False,55 Cancri e,33.0,False,E,11,P,False,7177.0
0242,1,Earth,False,TRAPPIST-1e,18.0,False,F,46,S,False,1288.0
0243,1,Earth,True,TRAPPIST-1e,21.0,False,G,37,S,False,0.0
0244,2,Mars,True,TRAPPIST-1e,43.0,False,F,47,S,True,0.0
0244,2,Mars,True,55 Cancri e,14.0,0.0,F,47,S,True,0.0
0245,2,Europa,False,55 Cancri e,46.0,False,C,6,P,True,3578.0
0245,2,Europa,False,TRAPPIST-1e,33.0,False,C,6,P,False,12378.0
0246,1,Mars,False,TRAPPIST-1e,21.0,False,D,8,P,False,3261.0
0248,1,Europa,False,TRAPPIST-1e,33.0,False,C,10,S,False,9684.0
0250,1,Earth,True,PSO J318.5-22,47.0,False,G,38,S,False,0.0
0251,1,Mars,True,55 Cancri e,54.0,False,C,11,S,True,0.0
0252,1,Earth,False,TRAPPIST-1e,30.0,False,F,53,P,False,1571.0
0253,1,Earth,False,TRAPPIST-1e,29.0,False,G,42,P,False,888.0
0254,1,Earth,False,TRAPPIST-1e,21.0,False,F,54,P,True,1290.0
0255,1,Europa,True,TRAPPIST-1e,24.0,False,A,3,S,True,0.0
0257,2,Mars,False,55 Cancri e,21.0,False,F,49,S,False,1664.0
0257,2,Mars,True,TRAPPIST-1e,60.0,False,F,49,S,True,0.0
0258,1,Earth,False,TRAPPIST-1e,22.0,False,F,50,S,False,704.0
0260,1,Europa,False,TRAPPIST-1e,26.0,False,E,16,S,False,7845.0
0261,1,Earth,False,TRAPPIST-1e,26.0,False,F,56,P,False,898.0
0263,1,Earth,True,TRAPPIST-1e,28.0,False,G,43,P,True,0.0
0265,1,Europa,True,TRAPPIST-1e,39.0,False,D,8,S,True,0.0
0267,1,Earth,False,TRAPPIST-1e,13.0,False,F,51,S,False,873.0
0269,1,Earth,False,55 Cancri e,47.0,False,F,52,S,True,823.0
0270,1,Earth,False,TRAPPIST-1e,63.0,False,F,59,P,False,1393.0
0275,1,Europa,True,55 Cancri e,29.0,False,D,9,S,True,0.0
0277,1,Earth,False,55 Cancri e,50.0,False,F,61,P,True,2487.0
0278,2,Earth,False,TRAPPIST-1e,35.0,False,G,45,P,False,888.0
0278,2,Earth,False,TRAPPIST-1e,45.0,False,G,45,P,False,444.0
0281,1,Earth,False,TRAPPIST-1e,19.0,False,F,63,P,True,2078.0
0282,1,Earth,False,TRAPPIST-1e,21.0,False,F,54,S,True,918.0
0283,2,Earth,True,PSO J318.5-22,29.0,False,G,46,P,True,0.0
0283,2,Earth,False,TRAPPIST-1e,22.0,False,F,64,P,True,803.0
0285,2,Europa,True,TRAPPIST-1e,14.0,False,E,16,P,True,0.0
0285,2,Europa,True,55 Cancri e,42.0,False,E,16,P,True,0.0
0286,1,Earth,False,55 Cancri e,57.0,False,F,65,P,False,1488.0
0287,2,Europa,True,55 Cancri e,39.0,False,B,12,P,True,0.0
0287,2,Europa,False,TRAPPIST-1e,28.0,False,B,12,P,False,2085.0
0288,1,Earth,False,55 Cancri e,19.0,False,F,55,S,False,828.0
0289,1,Europa,True,55 Cancri e,19.0,False,C,12,S,True,0.0
0290,4,Europa,False,55 Cancri e,26.0,False,B,7,S,True,5877.0
0290,4,Europa,True,TRAPPIST-1e,17.0,False,B,7,S,True,0.0
0290,4,Europa,False,TRAPPIST-1e,43.0,False,B,7,S,True,0.0
0290,4,Europa,False,55 Cancri e,9.0,False,B,7,S,True,0.0
0291,1,Europa,False,TRAPPIST-1e,40.0,False,D,10,S,True,7678.0
0294,1,Europa,True,TRAPPIST-1e,50.0,False,B,8,S,True,0.0
0297,1,Earth,False,TRAPPIST-1e,24.0,False,G,47,P,True,1433.0
0298,1,Europa,True,55 Cancri e,57.0,False,A,3,P,True,0.0
0301,1,Earth,True,TRAPPIST-1e,16.0,False,G,247,P,False,0.0
0302,1,Earth,False,TRAPPIST-1e,23.0,False,F,67,P,False,1385.0
0303,1,Europa,True,TRAPPIST-1e,23.0,False,G,41,S,True,0.0
0304,1,Europa,False,TRAPPIST-1e,28.0,False,E,18,S,False,7439.0
0305,1,Europa,False,55 Cancri e,23.0,False,C,7,P,False,3073.0
0306,1,Earth,False,TRAPPIST-1e,23.0,False,E,19,S,False,904.0
0307,1,Earth,False,TRAPPIST-1e,18.0,False,F,59,S,True,1359.0
0309,1,Earth,False,TRAPPIST-1e,18.0,False,F,60,S,False,1357.0
0310,1,Europa,False,TRAPPIST-1e,67.0,False,D,1745,P,False,4947.0
0313,4,Earth,False,PSO J318.5-22,60.0,False,F,68,P,True,552.0
0313,4,Earth,True,55 Cancri e,29.0,False,G,50,P,True,0.0
0313,4,Earth,False,55 Cancri e,49.0,False,F,68,P,True,649.0
0313,4,Earth,False,55 Cancri e,0.0,False,G,50,P,True,0.0
0314,1,Earth,False,55 Cancri e,26.0,False,G,51,P,False,1790.0
0315,1,Earth,True,PSO J318.5-22,35.0,False,G,42,S,True,0.0
0316,2,Europa,False,TRAPPIST-1e,24.0,False,B,9,S,True,2798.0
0316,2,Europa,True,TRAPPIST-1e,20.0,False,B,9,S,True,0.0
0320,2,Earth,False,TRAPPIST-1e,18.0,False,G,44,S,False,2.0
0320,2,Earth,False,TRAPPIST-1e,21.0,False,G,44,S,False,8.0
0321,1,Mars,False,TRAPPIST-1e,59.0,True,F,61,S,False,1227.0
0322,1,Earth,True,PSO J318.5-22,13.0,False,G,45,S,False,0.0
0324,1,Earth,True,55 Cancri e,43.0,False,G,53,P,False,0.0
0326,1,Earth,True,TRAPPIST-1e,29.0,False,G,47,S,False,0.0
0327,1,Earth,False,TRAPPIST-1e,19.0,False,F,239,P,True,803.0
0330,3,Europa,False,TRAPPIST-1e,2.0,False,C,14,S,True,0.0
0330,3,Europa,False,TRAPPIST-1e,32.0,False,C,14,S,True,5146.0
0330,3,Europa,False,TRAPPIST-1e,33.0,False,C,14,S,False,2168.0
0331,1,Earth,False,TRAPPIST-1e,25.0,False,F,72,P,False,803.0
0333,1,Mars,True,55 Cancri e,29.0,False,F,73,P,True,0.0
0334,1,Mars,False,TRAPPIST-1e,29.0,False,F,62,S,False,7404.0
0336,1,Earth,False,TRAPPIST-1e,44.0,False,F,74,P,False,712.0
0337,3,Mars,True,55 Cancri e,2.0,False,F,63,S,True,0.0
0337,3,Mars,False,TRAPPIST-1e,19.0,False,F,63,S,True,2460.0
0337,3,Mars,False,55 Cancri e,0.0,False,F,63,S,True,0.0
0338,1,Earth,True,TRAPPIST-1e,18.0,False,G,48,S,True,0.0
0340,1,Europa,True,55 Cancri e,38.0,False,B,10,S,True,0.0
0341,1,Earth,True,PSO J318.5-22,5.0,False,G,57,P,False,0.0
0343,1,Earth,False,PSO J318.5-22,31.0,False,F,76,P,False,1302.0
0345,1,Mars,True,TRAPPIST-1e,30.0,False,E,21,S,False,0.0
0346,1,Earth,True,55 Cancri e,15.0,False,G,59,P,True,0.0
0347,1,Mars,False,TRAPPIST-1e,27.0,False,F,64,S,False,1868.0
0348,2,Mars,False,TRAPPIST-1e,22.0,False,D,12,P,True,3223.0
0348,2,Mars,False,TRAPPIST-1e,36.0,False,D,12,P,True,2385.0
0350,1,Earth,True,PSO J318.5-22,14.0,False,G,60,P,True,0.0
0352,1,Mars,False,TRAPPIST-1e,23.0,False,F,78,P,False,4976.0
0355,1,Earth,True,TRAPPIST-1e,18.0,False,G,89,P,True,0.0
0356,1,Europa,True,55 Cancri e,36.0,False,B,15,P,True,0.0
0357,1,Earth,False,TRAPPIST-1e,41.0,False,F,65,S,False,1894.0
0358,2,Earth,True,TRAPPIST-1e,50.0,False,G,50,S,True,0.0
0358,2,Earth,True,PSO J318.5-22,32.0,False,G,50,S,True,0.0
0359,1,Earth,False,PSO J318.5-22,26.0,False,F,66,S,False,689.0
0360,1,Earth,False,TRAPPIST-1e,15.0,False,F,67,S,False,715.0
0361,1,Earth,False,55 Cancri e,33.0,False,F,68,S,True,733.0
0365,1,Earth,False,55 Cancri e,29.0,False,G,51,S,False,706.0
0368,2,Mars,False,TRAPPIST-1e,26.0,False,F,82,P,False,7405.0
0368,2,Mars,True,TRAPPIST-1e,61.0,False,F,82,P,True,0.0
0369,1,Earth,False,TRAPPIST-1e,24.0,False,G,53,S,True,827.0
0370,1,Earth,False,TRAPPIST-1e,30.0,False,F,83,P,False,1559.0
0371,1,Mars,True,TRAPPIST-1e,24.0,False,F,84,P,True,0.0
0372,1,Earth,False,TRAPPIST-1e,24.0,False,F,85,P,False,2771.0
0373,1,Earth,True,TRAPPIST-1e,41.0,False,G,62,P,False,0.0
0375,1,Earth,False,TRAPPIST-1e,20.0,False,E,22,P,False,788.0
0376,1,Earth,False,TRAPPIST-1e,22.0,False,G,54,S,True,908.0
0377,1,Europa,False,55 Cancri e,63.0,False,C,15,S,False,9432.0
0378,7,Europa,False,55 Cancri e,18.0,False,B,11,S,False,6065.0
0378,7,Europa,True,55 Cancri e,21.0,False,B,11,S,True,0.0
0378,7,Europa,False,TRAPPIST-1e,79.0,False,B,11,S,False,10645.0
0378,7,Europa,True,TRAPPIST-1e,56.0,False,B,11,S,True,0.0
0378,7,Europa,True,TRAPPIST-1e,13.0,False,B,11,S,True,0.0
0378,7,Europa,False,TRAPPIST-1e,33.0,False,B,11,S,False,4729.0
0378,7,Europa,True,TRAPPIST-1e,32.0,False,B,11,S,True,0.0
0379,1,Earth,False,TRAPPIST-1e,31.0,False,G,63,P,True,953.0
0380,1,Europa,True,55 Cancri e,26.0,False,B,1695,P,True,0.0
0381,2,Europa,True,55 Cancri e,18.0,False,B,16,P,True,0.0
0381,2,Europa,True,55 Cancri e,38.0,False,B,16,P,True,0.0
0382,1,Europa,False,TRAPPIST-1e,23.0,False,G,64,P,False,720.0
0383,2,Earth,False,TRAPPIST-1e,28.0,False,G,55,S,False,4688.0
