GroupSize,HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Deck,Num,Side,Transported,TotalSpending
2,0.0,0.0,0.0,14.0,0.0,1,0,1,0,1,5.0,6,0.0,False,1092.0
6,0.0,1.0,2.0,1.0,0.0,0,0,0,0,0,4.0,0,1.0,False,0.0
6,0.0,1.0,0.0,49.0,0.0,0,0,0,0,0,4.0,0,1.0,False,0.0
6,0.0,1.0,0.0,29.0,0.0,0,0,0,0,0,4.0,0,1.0,False,0.0
6,0.0,0.0,2.0,10.0,0.0,0,0,0,0,0,4.0,0,1.0,True,0.0
6,0.0,1.0,1.0,1.0,0.0,0,0,0,0,0,4.0,0,1.0,False,0.0
6,0.0,0.0,2.0,7.0,0.0,0,0,0,0,0,4.0,0,1.0,False,0.0
1,2.0,0.0,2.0,21.0,0.0,1,1,1,0,0,3.0,0,0.0,False,1051.0
1,1.0,1.0,2.0,62.0,0.0,0,0,0,0,0,2.0,2,1.0,True,0.0
1,0.0,0.0,2.0,15.0,0.0,0,1,0,1,0,5.0,6,1.0,False,1223.0
1,1.0,0.0,0.0,34.0,0.0,1,1,0,1,1,2.0,0,0.0,False,7861.0
1,2.0,0.0,2.0,43.0,0.0,1,0,1,1,0,5.0,8,0.0,False,1309.0
1,0.0,0.0,2.0,32.0,0.0,0,1,1,1,1,6.0,4,1.0,False,1821.0
3,2.0,0.0,2.0,47.0,0.0,1,0,1,0,1,5.0,9,0.0,True,2854.0
3,2.0,0.0,2.0,2.0,0.0,0,0,0,0,0,5.0,9,0.0,True,0.0
3,2.0,0.0,2.0,20.0,0.0,0,0,1,1,0,5.0,9,0.0,True,2740.0
1,1.0,1.0,0.0,28.0,0.0,0,0,0,0,0,3.0,1,1.0,True,0.0
1,2.0,0.0,0.0,23.0,0.0,1,1,0,1,0,3.0,1,0.0,False,2699.0
1,0.0,0.0,0.0,15.0,0.0,0,1,1,1,1,5.0,8,1.0,False,961.0
1,0.0,0.0,0.0,20.0,0.0,1,1,0,1,0,5.0,10,1.0,False,3355.0
1,0.0,1.0,0.0,30.0,0.0,0,0,0,0,0,6.0,1,0.0,False,0.0
1,0.0,1.0,2.0,17.0,0.0,0,0,0,0,0,6.0,2,0.0,True,0.0
1,1.0,0.0,2.0,45.0,0.0,0,1,1,1,1,1.0,3,0.0,False,3575.0
3,0.0,1.0,2.0,55.0,0.0,0,0,0,0,0,6.0,3,0.0,False,0.0
3,0.0,1.0,0.0,4.0,0.0,0,0,0,0,0,6.0,3,0.0,True,0.0
3,0.0,1.0,1.0,21.0,0.0,0,0,0,0,0,6.0,3,0.0,True,0.0
2,2.0,0.0,2.0,21.0,0.0,1,0,1,0,1,5.0,10,0.0,False,1214.0
2,2.0,1.0,2.0,19.0,0.0,0,0,0,0,0,5.0,10,0.0,True,0.0
1,0.0,0.0,0.0,35.0,0.0,1,0,0,0,0,4.0,1,1.0,False,790.0
1,0.0,0.0,2.0,56.0,0.0,0,1,0,1,1,4.0,2,1.0,False,1618.0
1,0.0,0.0,2.0,29.0,0.0,1,0,1,1,0,6.0,6,1.0,False,4689.0
1,0.0,0.0,2.0,25.0,0.0,0,0,1,0,1,5.0,11,1.0,True,1939.0
3,1.0,0.0,2.0,2.0,0.0,0,0,0,0,0,0.0,1,1.0,True,0.0
3,1.0,1.0,2.0,38.0,0.0,0,0,0,0,0,0.0,1,1.0,True,0.0
3,1.0,0.0,2.0,27.0,0.0,1,1,1,1,1,0.0,1,1.0,True,4547.0
1,0.0,1.0,1.0,36.0,0.0,0,0,0,0,0,6.0,7,1.0,False,0.0
1,0.0,0.0,2.0,22.0,0.0,1,1,1,1,1,5.0,12,1.0,False,2667.0
1,0.0,0.0,2.0,62.0,0.0,0,1,0,1,1,5.0,13,1.0,False,634.0
2,2.0,1.0,2.0,15.0,0.0,0,0,0,0,0,5.0,14,1.0,True,0.0
2,2.0,1.0,2.0,33.0,0.0,0,0,0,0,0,4.0,3,1.0,True,0.0
1,0.0,0.0,2.0,62.0,0.0,1,1,1,0,1,6.0,6,0.0,False,811.0
3,0.0,1.0,1.0,0.0,0.0,0,0,0,0,0,6.0,10,1.0,True,0.0
3,0.0,0.0,2.0,18.0,0.0,1,1,1,0,0,6.0,10,1.0,True,705.0
3,0.0,0.0,0.0,21.0,0.0,1,1,0,0,1,5.0,15,1.0,False,2007.0
1,2.0,0.0,2.0,29.0,0.0,1,0,1,1,0,4.0,4,1.0,False,1048.0
1,0.0,0.0,2.0,42.0,0.0,1,0,1,1,0,5.0,16,1.0,True,902.0
1,0.0,0.0,2.0,19.0,0.0,1,0,1,1,1,5.0,13,0.0,False,922.0
1,0.0,0.0,2.0,17.0,0.0,1,1,0,0,1,5.0,14,0.0,False,2233.0
1,0.0,0.0,2.0,14.0,0.0,0,1,0,0,1,5.0,17,1.0,False,1064.0
1,2.0,0.0,1.0,37.0,0.0,1,1,1,0,1,3.0,3,0.0,False,879.0
1,1.0,0.0,2.0,42.0,0.0,1,1,0,0,1,2.0,3,1.0,True,8904.0
1,2.0,0.0,2.0,27.0,0.0,1,0,1,0,0,5.0,18,1.0,True,1165.0
1,2.0,0.0,2.0,28.0,0.0,1,0,1,0,0,5.0,15,0.0,True,1309.0
1,1.0,0.0,2.0,38.0,0.0,0,1,0,1,1,2.0,4,1.0,False,15815.0
1,0.0,1.0,2.0,13.0,0.0,0,0,0,0,0,6.0,13,1.0,False,0.0
3,2.0,0.0,2.0,42.0,0.0,1,0,0,0,0,5.0,16,0.0,False,7406.0
3,2.0,1.0,2.0,2.0,0.0,0,0,0,0,0,5.0,16,0.0,True,0.0
3,2.0,0.0,2.0,8.0,0.0,0,0,0,0,0,5.0,16,0.0,True,0.0
1,0.0,0.0,2.0,24.0,0.0,1,0,0,0,1,6.0,14,1.0,True,705.0
1,1.0,1.0,2.0,40.0,0.0,0,0,0,0,0,2.0,5,1.0,True,0.0
1,0.0,0.0,2.0,43.0,0.0,1,0,0,1,1,5.0,17,0.0,False,1362.0
1,2.0,1.0,1.0,45.0,0.0,0,0,0,0,0,4.0,5,1.0,True,0.0
1,0.0,1.0,2.0,35.0,0.0,0,0,0,0,0,6.0,15,1.0,True,0.0
2,0.0,1.0,2.0,26.0,0.0,0,0,0,0,0,6.0,16,1.0,True,0.0
2,0.0,0.0,2.0,27.0,0.0,1,1,1,1,0,5.0,20,1.0,False,917.0
3,0.0,0.0,2.0,19.0,0.0,0,0,1,1,1,6.0,9,0.0,False,705.0
3,0.0,1.0,2.0,0.0,0.0,0,0,0,0,0,6.0,9,0.0,True,0.0
3,0.0,1.0,2.0,3.0,0.0,0,0,0,0,0,6.0,9,0.0,True,0.0
1,1.0,0.0,2.0,54.0,0.0,0,1,0,1,1,0.0,2,1.0,False,1848.0
2,0.0,0.0,2.0,26.0,0.0,0,1,1,1,0,6.0,11,0.0,False,893.0
2,0.0,0.0,2.0,26.0,0.0,0,1,1,0,1,6.0,11,0.0,True,3855.0
2,0.0,0.0,1.0,23.0,0.0,1,1,1,1,0,5.0,19,0.0,False,1301.0
2,0.0,0.0,2.0,2.0,0.0,0,0,0,0,0,6.0,12,0.0,True,0.0
1,2.0,1.0,2.0,31.0,0.0,0,0,0,0,0,5.0,933,0.0,True,0.0
1,0.0,0.0,2.0,18.0,0.0,0,0,0,1,1,5.0,23,1.0,False,921.0
3,0.0,0.0,2.0,24.0,0.0,0,0,0,0,1,5.0,24,1.0,True,17.0
3,0.0,1.0,0.0,9.0,0.0,0,0,0,0,0,6.0,18,1.0,True,0.0
3,0.0,1.0,2.0,6.0,0.0,0,0,0,0,0,6.0,18,1.0,False,0.0
1,0.0,0.0,2.0,27.0,0.0,0,0,1,1,1,5.0,21,0.0,False,703.0
1,2.0,0.0,2.0,21.0,0.0,1,1,1,0,0,3.0,2,1.0,False,1765.0
3,0.0,1.0,2.0,23.0,0.0,0,0,0,0,0,6.0,19,1.0,False,0.0
3,0.0,0.0,2.0,31.0,0.0,1,0,1,0,0,6.0,19,1.0,False,888.0
3,0.0,0.0,2.0,0.0,0.0,0,0,0,0,0,6.0,19,1.0,True,0.0
4,1.0,0.0,2.0,32.0,0.0,0,1,1,1,1,1.0,5,0.0,False,5109.0
4,1.0,0.0,2.0,40.0,0.0,0,1,0,0,1,1.0,5,0.0,False,2018.0
4,1.0,0.0,2.0,42.0,0.0,1,1,0,1,1,1.0,5,0.0,True,15940.0
4,1.0,1.0,2.0,28.0,0.0,0,0,0,0,0,1.0,5,0.0,True,0.0
1,1.0,1.0,2.0,29.0,0.0,0,0,0,0,0,4.0,6,1.0,True,0.0
1,1.0,0.0,0.0,48.0,1.0,0,1,1,1,1,1.0,1,1.0,True,2654.0
1,0.0,0.0,2.0,64.0,0.0,0,0,1,0,0,5.0,23,0.0,True,804.0
1,0.0,0.0,2.0,27.0,0.0,1,1,1,1,1,6.0,20,1.0,False,907.0
1,2.0,0.0,2.0,26.0,0.0,0,0,0,0,0,5.0,24,0.0,True,0.0
1,1.0,0.0,2.0,33.0,0.0,1,1,0,1,1,3.0,4,0.0,True,2640.0
2,1.0,0.0,2.0,39.0,0.0,0,1,0,1,1,0.0,0,0.0,False,9307.0
2,1.0,1.0,2.0,13.0,0.0,0,0,0,0,0,0.0,0,0.0,True,0.0
1,2.0,1.0,2.0,24.0,0.0,0,0,0,0,0,5.0,25,0.0,True,0.0
1,0.0,0.0,2.0,29.0,0.0,0,0,0,1,1,6.0,21,1.0,False,773.0
1,0.0,0.0,2.0,18.0,0.0,1,1,1,0,1,5.0,27,0.0,False,702.0
1,2.0,1.0,2.0,67.0,0.0,0,0,0,0,0,5.0,27,1.0,True,0.0
1,2.0,0.0,2.0,35.0,0.0,1,0,1,0,1,4.0,7,1.0,False,1022.0
2,2.0,0.0,2.0,61.0,1.0,1,1,1,1,1,3.0,3,1.0,False,3014.0
2,2.0,0.0,2.0,45.0,0.0,1,1,0,0,0,4.0,8,1.0,False,2109.0
1,0.0,1.0,1.0,22.0,0.0,0,0,0,0,0,6.0,22,1.0,True,0.0
2,2.0,1.0,2.0,19.0,0.0,0,0,0,0,0,5.0,29,1.0,True,0.0
2,2.0,0.0,2.0,36.0,0.0,1,0,0,0,0,3.0,5,1.0,False,2738.0
1,0.0,0.0,2.0,19.0,0.0,0,1,1,0,0,6.0,17,0.0,True,744.0
1,0.0,0.0,1.0,47.0,0.0,1,1,1,1,1,6.0,23,1.0,False,721.0
2,0.0,1.0,2.0,13.0,0.0,0,0,0,0,0,6.0,18,0.0,True,0.0
2,0.0,0.0,2.0,34.0,0.0,0,1,0,1,1,4.0,5,0.0,False,793.0
1,1.0,1.0,0.0,35.0,0.0,0,0,0,0,0,2.0,6,1.0,True,0.0
2,0.0,1.0,2.0,24.0,0.0,0,0,0,0,0,6.0,19,0.0,True,0.0
2,0.0,0.0,2.0,26.0,0.0,1,0,0,0,1,5.0,29,0.0,False,902.0
1,2.0,0.0,2.0,31.0,0.0,0,0,1,0,0,5.0,30,0.0,False,97.0
1,0.0,0.0,2.0,20.0,0.0,0,1,1,0,0,5.0,31,1.0,True,630.0
1,0.0,0.0,2.0,56.0,0.0,0,0,0,0,0,6.0,25,1.0,False,0.0
1,0.0,1.0,2.0,50.0,0.0,0,0,0,0,0,6.0,26,1.0,True,0.0
1,2.0,0.0,2.0,42.0,0.0,1,0,1,0,1,5.0,31,0.0,False,1158.0
1,0.0,1.0,0.0,29.0,0.0,0,0,0,0,0,6.0,27,1.0,True,0.0
1,0.0,1.0,0.0,38.0,0.0,0,0,0,0,0,6.0,20,0.0,False,0.0
1,0.0,0.0,2.0,41.0,0.0,0,0,0,0,1,5.0,32,0.0,False,607.0
1,0.0,0.0,2.0,22.0,0.0,1,0,0,0,1,6.0,22,0.0,False,4180.0
2,1.0,1.0,2.0,26.0,0.0,0,0,0,0,0,1.0,8,0.0,True,0.0
2,1.0,1.0,2.0,17.0,0.0,0,0,0,0,0,1.0,8,0.0,True,0.0
2,0.0,0.0,2.0,57.0,0.0,1,1,0,0,1,6.0,28,1.0,True,1873.0
2,0.0,1.0,1.0,17.0,0.0,0,0,0,0,0,6.0,28,1.0,False,0.0
1,2.0,1.0,2.0,35.0,0.0,0,0,0,0,0,5.0,37,0.0,True,0.0
2,2.0,1.0,2.0,13.0,0.0,0,0,0,0,0,5.0,35,1.0,True,0.0
2,2.0,0.0,2.0,27.0,0.0,1,0,1,1,1,5.0,35,1.0,False,1572.0
1,0.0,1.0,2.0,31.0,0.0,0,0,0,0,0,6.0,23,0.0,False,0.0
1,0.0,0.0,2.0,24.0,0.0,0,0,0,1,1,4.0,10,1.0,False,788.0
1,0.0,1.0,1.0,19.0,0.0,0,0,0,0,0,6.0,30,1.0,True,0.0
1,0.0,1.0,2.0,32.0,0.0,0,0,0,0,0,6.0,24,0.0,True,0.0
1,0.0,0.0,2.0,58.0,0.0,0,1,0,1,0,4.0,11,1.0,True,990.0
1,0.0,0.0,0.0,21.0,0.0,1,0,1,1,1,5.0,38,0.0,False,593.0
1,1.0,0.0,2.0,38.0,0.0,0,1,1,1,1,1.0,2,1.0,False,27428.0
1,2.0,0.0,2.0,38.0,0.0,1,0,1,1,1,3.0,6,1.0,False,3722.0
3,0.0,0.0,2.0,19.0,0.0,1,1,1,1,1,6.0,26,0.0,True,906.0
3,0.0,0.0,2.0,0.0,0.0,0,0,0,0,0,6.0,26,0.0,False,0.0
3,0.0,0.0,2.0,3.0,0.0,0,0,0,0,0,6.0,26,0.0,True,0.0
1,0.0,0.0,2.0,20.0,0.0,0,0,1,1,1,6.0,27,0.0,False,394.0
1,1.0,1.0,2.0,24.0,0.0,0,0,0,0,0,2.0,3,0.0,True,0.0
1,0.0,0.0,2.0,37.0,0.0,1,1,1,0,1,5.0,36,1.0,True,821.0
1,0.0,0.0,2.0,25.0,0.0,1,0,0,0,1,6.0,28,0.0,False,1018.0
1,0.0,1.0,2.0,56.0,0.0,0,0,0,0,0,6.0,31,1.0,True,0.0
1,0.0,0.0,0.0,49.0,0.0,1,1,1,1,1,4.0,8,0.0,False,788.0
1,0.0,1.0,0.0,11.0,0.0,0,0,0,0,0,6.0,32,1.0,False,0.0
3,0.0,1.0,2.0,1.0,0.0,0,0,0,0,0,6.0,29,0.0,True,0.0
3,0.0,0.0,2.0,8.0,0.0,0,0,0,0,0,6.0,29,0.0,False,0.0
3,0.0,0.0,2.0,39.0,0.0,0,0,1,1,0,6.0,29,0.0,False,908.0
3,2.0,1.0,2.0,2.0,0.0,0,0,0,0,0,5.0,41,0.0,True,0.0
3,2.0,0.0,2.0,23.0,0.0,0,0,1,1,0,5.0,41,0.0,False,1080.0
3,2.0,0.0,2.0,0.0,0.0,0,0,0,0,0,5.0,41,0.0,True,0.0
1,2.0,0.0,2.0,39.0,0.0,1,0,1,0,0,5.0,42,0.0,True,1273.0
1,2.0,0.0,1.0,25.0,0.0,1,0,1,0,1,3.0,5,0.0,False,1778.0
1,1.0,0.0,2.0,36.0,0.0,0,1,0,1,1,2.0,5,0.0,False,2342.0
1,0.0,1.0,1.0,52.0,0.0,0,0,0,0,0,6.0,30,0.0,True,0.0
1,0.0,1.0,2.0,18.0,0.0,0,0,0,0,0,6.0,33,1.0,False,0.0
1,0.0,1.0,2.0,15.0,0.0,0,0,0,0,0,6.0,31,0.0,True,0.0
2,1.0,1.0,2.0,35.0,0.0,0,0,0,0,0,1.0,3,1.0,True,0.0
2,1.0,1.0,2.0,47.0,0.0,0,0,0,0,0,1.0,3,1.0,True,0.0
2,1.0,1.0,0.0,45.0,0.0,0,0,0,0,0,1.0,9,0.0,True,0.0
2,1.0,0.0,0.0,29.0,0.0,0,1,0,1,1,0.0,2,0.0,True,3754.0
1,1.0,1.0,2.0,51.0,0.0,0,0,0,0,0,2.0,8,1.0,True,0.0
1,0.0,0.0,2.0,29.0,0.0,0,1,1,0,1,6.0,34,1.0,False,773.0
1,1.0,0.0,0.0,29.0,0.0,1,1,1,1,1,2.0,9,1.0,True,2981.0
1,0.0,1.0,1.0,19.0,0.0,0,0,0,0,0,6.0,32,0.0,False,0.0
1,1.0,1.0,0.0,24.0,0.0,0,0,0,0,0,3.0,6,0.0,True,0.0
3,2.0,0.0,2.0,29.0,0.0,1,1,1,0,0,5.0,44,0.0,True,1040.0
3,2.0,1.0,2.0,11.0,0.0,0,0,0,0,0,5.0,44,0.0,True,0.0
3,2.0,0.0,2.0,17.0,0.0,1,0,1,1,0,5.0,44,0.0,False,1337.0
2,0.0,0.0,2.0,13.0,0.0,1,0,0,1,1,4.0,9,0.0,False,982.0
2,0.0,0.0,2.0,35.0,0.0,1,1,0,1,1,5.0,45,0.0,False,732.0
1,0.0,0.0,2.0,21.0,0.0,1,1,0,0,1,5.0,46,0.0,False,794.0
1,0.0,0.0,0.0,21.0,0.0,0,1,0,0,1,5.0,40,1.0,False,1974.0
1,0.0,0.0,2.0,38.0,0.0,1,0,0,1,0,5.0,47,0.0,False,1544.0
1,0.0,1.0,2.0,19.0,0.0,0,0,0,0,0,6.0,36,0.0,True,0.0
7,0.0,1.0,2.0,2.0,0.0,0,0,0,0,0,6.0,37,0.0,True,0.0
7,0.0,0.0,2.0,0.0,0.0,0,0,0,0,0,6.0,37,0.0,True,0.0
7,0.0,1.0,2.0,13.0,0.0,0,0,0,0,0,6.0,37,0.0,False,0.0
7,0.0,0.0,2.0,25.0,0.0,1,1,0,0,0,4.0,10,0.0,False,206.0
7,0.0,0.0,2.0,16.0,0.0,0,1,0,0,1,5.0,48,0.0,False,1102.0
7,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,6.0,37,0.0,False,0.0
7,0.0,1.0,2.0,15.0,0.0,0,0,0,0,0,6.0,37,0.0,True,0.0
7,2.0,0.0,0.0,21.0,0.0,1,0,1,0,0,4.0,13,1.0,False,2356.0
7,2.0,0.0,2.0,23.0,0.0,1,1,1,1,0,4.0,13,1.0,False,1298.0
7,2.0,0.0,2.0,33.0,0.0,1,1,1,1,0,4.0,13,1.0,False,2134.0
7,2.0,1.0,2.0,21.0,0.0,0,0,0,0,0,4.0,13,1.0,True,0.0
7,2.0,0.0,2.0,41.0,0.0,1,0,1,1,1,4.0,13,1.0,False,2597.0
7,2.0,0.0,2.0,16.0,0.0,1,0,1,1,0,4.0,13,1.0,False,1370.0
7,2.0,1.0,2.0,42.0,0.0,0,0,0,0,0,4.0,13,1.0,False,0.0
3,2.0,0.0,2.0,20.0,0.0,1,0,0,1,0,5.0,41,1.0,False,1417.0
3,2.0,1.0,2.0,24.0,0.0,0,0,0,0,0,5.0,41,1.0,True,0.0
3,2.0,1.0,2.0,16.0,0.0,0,0,0,0,0,4.0,14,1.0,True,0.0
1,0.0,0.0,2.0,21.0,0.0,0,1,1,0,1,6.0,35,1.0,False,676.0
1,2.0,0.0,2.0,32.0,1.0,1,0,1,1,0,5.0,42,1.0,False,1820.0
1,0.0,1.0,1.0,58.0,0.0,0,0,0,0,0,6.0,38,0.0,True,0.0
1,0.0,0.0,2.0,24.0,0.0,1,1,0,1,1,5.0,43,1.0,False,803.0
1,2.0,0.0,2.0,30.0,0.0,1,0,1,1,0,5.0,44,1.0,False,1806.0
1,0.0,1.0,1.0,27.0,0.0,0,0,0,0,0,6.0,36,1.0,False,0.0
1,2.0,0.0,2.0,32.0,0.0,1,0,1,1,0,5.0,45,1.0,False,1750.0
1,0.0,0.0,2.0,43.0,0.0,0,1,0,0,0,5.0,50,0.0,False,888.0
1,1.0,1.0,2.0,42.0,0.0,0,0,0,0,0,1.0,11,0.0,True,0.0
1,2.0,0.0,2.0,37.0,0.0,1,0,0,1,1,5.0,1267,0.0,False,1048.0
1,2.0,1.0,2.0,35.0,0.0,0,0,0,0,0,5.0,52,0.0,True,0.0
1,1.0,0.0,0.0,33.0,0.0,0,1,0,1,1,4.0,11,0.0,False,7177.0
1,0.0,0.0,2.0,18.0,0.0,1,1,1,1,0,5.0,46,1.0,False,1288.0
1,0.0,1.0,2.0,21.0,0.0,0,0,0,0,0,6.0,37,1.0,False,0.0
2,2.0,1.0,2.0,43.0,0.0,0,0,0,0,0,5.0,47,1.0,True,0.0
2,2.0,1.0,0.0,14.0,0.0,0,0,0,0,0,5.0,47,1.0,True,0.0
2,1.0,0.0,0.0,46.0,0.0,0,1,0,0,1,2.0,6,0.0,True,3578.0
2,1.0,0.0,2.0,33.0,0.0,0,1,1,1,1,2.0,6,0.0,False,12378.0
1,2.0,0.0,2.0,21.0,0.0,1,0,1,1,0,3.0,8,0.0,False,3261.0
1,1.0,0.0,2.0,33.0,0.0,0,1,0,1,1,2.0,10,1.0,False,9684.0
1,0.0,1.0,1.0,47.0,0.0,0,0,0,0,0,6.0,38,1.0,False,0.0
1,2.0,1.0,0.0,54.0,0.0,0,0,0,0,0,2.0,11,1.0,True,0.0
1,0.0,0.0,2.0,30.0,0.0,1,1,1,0,0,5.0,53,0.0,False,1571.0
1,0.0,0.0,2.0,29.0,0.0,1,1,0,0,1,6.0,42,0.0,False,888.0
1,0.0,0.0,2.0,21.0,0.0,1,1,1,1,1,5.0,54,0.0,True,1290.0
1,1.0,1.0,2.0,24.0,0.0,0,0,0,0,0,0.0,3,1.0,True,0.0
2,2.0,0.0,0.0,21.0,0.0,1,0,0,0,0,5.0,49,1.0,False,1664.0
2,2.0,1.0,2.0,60.0,0.0,0,0,0,0,0,5.0,49,1.0,True,0.0
1,0.0,0.0,2.0,22.0,0.0,0,0,1,1,1,5.0,50,1.0,False,704.0
1,1.0,0.0,2.0,26.0,0.0,0,1,0,1,1,4.0,16,1.0,False,7845.0
1,0.0,0.0,2.0,26.0,0.0,1,1,0,0,1,5.0,56,0.0,False,898.0
1,0.0,1.0,2.0,28.0,0.0,0,0,0,0,0,6.0,43,0.0,True,0.0
1,1.0,1.0,2.0,39.0,0.0,0,0,0,0,0,3.0,8,1.0,True,0.0
1,0.0,0.0,2.0,13.0,0.0,1,0,0,1,1,5.0,51,1.0,False,873.0
1,0.0,0.0,0.0,47.0,0.0,0,1,1,0,0,5.0,52,1.0,True,823.0
1,0.0,0.0,2.0,63.0,0.0,0,1,1,0,1,5.0,59,0.0,False,1393.0
1,1.0,1.0,0.0,29.0,0.0,0,0,0,0,0,3.0,9,1.0,True,0.0
1,0.0,0.0,0.0,50.0,0.0,1,1,0,1,0,5.0,61,0.0,True,2487.0
2,0.0,0.0,2.0,35.0,0.0,0,0,0,1,0,6.0,45,0.0,False,888.0
2,0.0,0.0,2.0,45.0,0.0,0,1,0,1,1,6.0,45,0.0,False,444.0
1,0.0,0.0,2.0,19.0,0.0,0,0,1,0,0,5.0,63,0.0,True,2078.0
1,0.0,0.0,2.0,21.0,0.0,0,1,0,0,0,5.0,54,1.0,True,918.0
2,0.0,1.0,1.0,29.0,0.0,0,0,0,0,0,6.0,46,0.0,True,0.0
2,0.0,0.0,2.0,22.0,0.0,1,1,1,0,1,5.0,64,0.0,True,803.0
2,1.0,1.0,2.0,14.0,0.0,0,0,0,0,0,4.0,16,0.0,True,0.0
2,1.0,1.0,0.0,42.0,0.0,0,0,0,0,0,4.0,16,0.0,True,0.0
1,0.0,0.0,0.0,57.0,0.0,1,1,1,1,1,5.0,65,0.0,False,1488.0
2,1.0,1.0,0.0,39.0,0.0,0,0,0,0,0,1.0,12,0.0,True,0.0
2,1.0,0.0,2.0,28.0,0.0,0,1,1,1,1,1.0,12,0.0,False,2085.0
1,0.0,0.0,0.0,19.0,0.0,0,0,0,0,1,5.0,55,1.0,False,828.0
1,1.0,1.0,0.0,19.0,0.0,0,0,0,0,0,2.0,12,1.0,True,0.0
4,1.0,0.0,0.0,26.0,0.0,0,1,0,1,1,1.0,7,1.0,True,5877.0
4,1.0,1.0,2.0,17.0,0.0,0,0,0,0,0,1.0,7,1.0,True,0.0
4,1.0,0.0,2.0,43.0,0.0,0,0,0,0,0,1.0,7,1.0,True,0.0
4,1.0,0.0,0.0,9.0,0.0,0,0,0,0,0,1.0,7,1.0,True,0.0
1,1.0,0.0,2.0,40.0,0.0,0,1,1,1,0,3.0,10,1.0,True,7678.0
1,1.0,1.0,2.0,50.0,0.0,0,0,0,0,0,1.0,8,1.0,True,0.0
1,0.0,0.0,2.0,24.0,0.0,1,1,1,1,0,6.0,47,0.0,True,1433.0
1,1.0,1.0,0.0,57.0,0.0,0,0,0,0,0,0.0,3,0.0,True,0.0
1,0.0,1.0,2.0,16.0,0.0,0,0,0,0,0,6.0,247,0.0,False,0.0
1,0.0,0.0,2.0,23.0,0.0,0,0,1,0,1,5.0,67,0.0,False,1385.0
1,1.0,1.0,2.0,23.0,0.0,0,0,0,0,0,6.0,41,1.0,True,0.0
1,1.0,0.0,2.0,28.0,0.0,0,1,0,1,1,4.0,18,1.0,False,7439.0
1,1.0,0.0,0.0,23.0,0.0,0,1,0,1,1,2.0,7,0.0,False,3073.0
1,0.0,0.0,2.0,23.0,0.0,1,1,1,1,1,4.0,19,1.0,False,904.0
1,0.0,0.0,2.0,18.0,0.0,0,0,1,0,0,5.0,59,1.0,True,1359.0
1,0.0,0.0,2.0,18.0,0.0,1,0,1,1,0,5.0,60,1.0,False,1357.0
1,1.0,0.0,2.0,67.0,0.0,0,1,0,1,1,3.0,1745,0.0,False,4947.0
4,0.0,0.0,1.0,60.0,0.0,1,1,1,0,1,5.0,68,0.0,True,552.0
4,0.0,1.0,0.0,29.0,0.0,0,0,0,0,0,6.0,50,0.0,True,0.0
4,0.0,0.0,0.0,49.0,0.0,1,0,0,1,0,5.0,68,0.0,True,649.0
4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,6.0,50,0.0,True,0.0
1,0.0,0.0,0.0,26.0,0.0,1,0,1,0,1,6.0,51,0.0,False,1790.0
