=== Age ===
- Valore: 24.0 | Conteggio: 324 | Percentuale: 3.73%
- Valore: 68.0 | Conteggio: 12 | Percentuale: 0.14%
- Valore: 70.0 | Conteggio: 9 | Percentuale: 0.10%
- Valore: 66.0 | Conteggio: 7 | Percentuale: 0.08%
- Valore: 73.0 | Conteggio: 7 | Percentuale: 0.08%
- Valore: 71.0 | Conteggio: 7 | Percentuale: 0.08%
- Valore: 69.0 | Conteggio: 6 | Percentuale: 0.07%
- Valore: 74.0 | Conteggio: 5 | Percentuale: 0.06%
- Valore: 75.0 | Conteggio: 4 | Percentuale: 0.05%
- Valore: 72.0 | Conteggio: 4 | Percentuale: 0.05%
- Valore: 78.0 | Conteggio: 3 | Percentuale: 0.03%
- Valore: 79.0 | Conteggio: 3 | Percentuale: 0.03%
- Valore: 76.0 | Conteggio: 2 | Percentuale: 0.02%
- Valore: 77.0 | Conteggio: 2 | Percentuale: 0.02%

=== CryoSleep ===
- Valore: False | Conteggio: 5439 | Percentuale: 62.57%
- Valore: True | Conteggio: 3037 | Percentuale: 34.94%
- Valore: <NULL> | Conteggio: 217 | Percentuale: 2.50%

=== Deck ===
- Valore: F | Conteggio: 2909 | Percentuale: 33.46%
- Valore: G | Conteggio: 2588 | Percentuale: 29.77%
- Valore: E | Conteggio: 885 | Percentuale: 10.18%
- Valore: B | Conteggio: 796 | Percentuale: 9.16%
- Valore: C | Conteggio: 761 | Percentuale: 8.75%
- Valore: D | Conteggio: 487 | Percentuale: 5.60%
- Valore: A | Conteggio: 262 | Percentuale: 3.01%
- Valore: T | Conteggio: 5 | Percentuale: 0.06%

=== Destination ===
- Valore: TRAPPIST-1e | Conteggio: 6072 | Percentuale: 69.85%
- Valore: 55 Cancri e | Conteggio: 1816 | Percentuale: 20.89%
- Valore: PSO J318.5-22 | Conteggio: 805 | Percentuale: 9.26%

=== FoodCourt ===
- Valore: 0.0 | Conteggio: 5504 | Percentuale: 63.32%
- Valore: 1.0 | Conteggio: 117 | Percentuale: 1.35%
- Valore: 458.0772032902468 | Conteggio: 100 | Percentuale: 1.15%
- Valore: 2.0 | Conteggio: 75 | Percentuale: 0.86%
- Valore: 4.0 | Conteggio: 53 | Percentuale: 0.61%
- Valore: 3.0 | Conteggio: 53 | Percentuale: 0.61%
- Valore: 5.0 | Conteggio: 33 | Percentuale: 0.38%
- Valore: 6.0 | Conteggio: 31 | Percentuale: 0.36%
- Valore: 9.0 | Conteggio: 29 | Percentuale: 0.33%
- Valore: 7.0 | Conteggio: 28 | Percentuale: 0.32%
- Valore: 10.0 | Conteggio: 27 | Percentuale: 0.31%
- Valore: 8.0 | Conteggio: 20 | Percentuale: 0.23%
- Valore: 11.0 | Conteggio: 19 | Percentuale: 0.22%
- Valore: 20.0 | Conteggio: 18 | Percentuale: 0.21%
- Valore: 25.0 | Conteggio: 18 | Percentuale: 0.21%
- Valore: 16.0 | Conteggio: 16 | Percentuale: 0.18%
- Valore: 21.0 | Conteggio: 16 | Percentuale: 0.18%
- Valore: 22.0 | Conteggio: 15 | Percentuale: 0.17%
- Valore: 13.0 | Conteggio: 15 | Percentuale: 0.17%
- Valore: 12.0 | Conteggio: 14 | Percentuale: 0.16%
- Valore: 30.0 | Conteggio: 12 | Percentuale: 0.14%
- Valore: 18.0 | Conteggio: 12 | Percentuale: 0.14%
- Valore: 53.0 | Conteggio: 12 | Percentuale: 0.14%
- Valore: 33.0 | Conteggio: 12 | Percentuale: 0.14%
- Valore: 15.0 | Conteggio: 11 | Percentuale: 0.13%
- Valore: 17.0 | Conteggio: 11 | Percentuale: 0.13%
- Valore: 44.0 | Conteggio: 11 | Percentuale: 0.13%
- Valore: 14.0 | Conteggio: 11 | Percentuale: 0.13%
- Valore: 31.0 | Conteggio: 11 | Percentuale: 0.13%
- Valore: 32.0 | Conteggio: 10 | Percentuale: 0.12%
- Valore: 29.0 | Conteggio: 9 | Percentuale: 0.10%
- Valore: 79.0 | Conteggio: 9 | Percentuale: 0.10%
- Valore: 82.0 | Conteggio: 9 | Percentuale: 0.10%
- Valore: 34.0 | Conteggio: 8 | Percentuale: 0.09%
- Valore: 43.0 | Conteggio: 8 | Percentuale: 0.09%
- Valore: 28.0 | Conteggio: 7 | Percentuale: 0.08%
- Valore: 56.0 | Conteggio: 7 | Percentuale: 0.08%
- Valore: 104.0 | Conteggio: 7 | Percentuale: 0.08%
- Valore: 59.0 | Conteggio: 7 | Percentuale: 0.08%
- Valore: 38.0 | Conteggio: 7 | Percentuale: 0.08%
- Valore: 36.0 | Conteggio: 7 | Percentuale: 0.08%
- Valore: 46.0 | Conteggio: 7 | Percentuale: 0.08%
- Valore: 83.0 | Conteggio: 7 | Percentuale: 0.08%
- Valore: 19.0 | Conteggio: 7 | Percentuale: 0.08%
- Valore: 37.0 | Conteggio: 7 | Percentuale: 0.08%
- Valore: 51.0 | Conteggio: 6 | Percentuale: 0.07%
- Valore: 35.0 | Conteggio: 6 | Percentuale: 0.07%
- Valore: 24.0 | Conteggio: 6 | Percentuale: 0.07%
- Valore: 76.0 | Conteggio: 6 | Percentuale: 0.07%
- Valore: 809.0 | Conteggio: 6 | Percentuale: 0.07%
- Valore: 243.0 | Conteggio: 6 | Percentuale: 0.07%
- Valore: 84.0 | Conteggio: 6 | Percentuale: 0.07%
- Valore: 132.0 | Conteggio: 6 | Percentuale: 0.07%
- Valore: 103.0 | Conteggio: 5 | Percentuale: 0.06%
- Valore: 179.0 | Conteggio: 5 | Percentuale: 0.06%
- Valore: 226.0 | Conteggio: 5 | Percentuale: 0.06%
- Valore: 172.0 | Conteggio: 5 | Percentuale: 0.06%
- Valore: 169.0 | Conteggio: 5 | Percentuale: 0.06%
- Valore: 114.0 | Conteggio: 5 | Percentuale: 0.06%
- Valore: 47.0 | Conteggio: 5 | Percentuale: 0.06%
- Valore: 760.0 | Conteggio: 5 | Percentuale: 0.06%
- Valore: 89.0 | Conteggio: 5 | Percentuale: 0.06%
- Valore: 162.0 | Conteggio: 5 | Percentuale: 0.06%
- Valore: 94.0 | Conteggio: 5 | Percentuale: 0.06%
- Valore: 60.0 | Conteggio: 5 | Percentuale: 0.06%
- Valore: 100.0 | Conteggio: 5 | Percentuale: 0.06%
- Valore: 122.0 | Conteggio: 5 | Percentuale: 0.06%
- Valore: 45.0 | Conteggio: 5 | Percentuale: 0.06%
- Valore: 39.0 | Conteggio: 5 | Percentuale: 0.06%
- Valore: 93.0 | Conteggio: 5 | Percentuale: 0.06%
- Valore: 27.0 | Conteggio: 5 | Percentuale: 0.06%
- Valore: 55.0 | Conteggio: 5 | Percentuale: 0.06%
- Valore: 225.0 | Conteggio: 5 | Percentuale: 0.06%
- Valore: 40.0 | Conteggio: 5 | Percentuale: 0.06%
- Valore: 218.0 | Conteggio: 4 | Percentuale: 0.05%
- Valore: 26.0 | Conteggio: 4 | Percentuale: 0.05%
- Valore: 201.0 | Conteggio: 4 | Percentuale: 0.05%
- Valore: 368.0 | Conteggio: 4 | Percentuale: 0.05%
- Valore: 316.0 | Conteggio: 4 | Percentuale: 0.05%
- Valore: 266.0 | Conteggio: 4 | Percentuale: 0.05%
- Valore: 559.0 | Conteggio: 4 | Percentuale: 0.05%
- Valore: 170.0 | Conteggio: 4 | Percentuale: 0.05%
- Valore: 490.0 | Conteggio: 4 | Percentuale: 0.05%
- Valore: 68.0 | Conteggio: 4 | Percentuale: 0.05%
- Valore: 142.0 | Conteggio: 4 | Percentuale: 0.05%
- Valore: 166.0 | Conteggio: 4 | Percentuale: 0.05%
- Valore: 23.0 | Conteggio: 4 | Percentuale: 0.05%
- Valore: 847.0 | Conteggio: 4 | Percentuale: 0.05%
- Valore: 52.0 | Conteggio: 4 | Percentuale: 0.05%
- Valore: 841.0 | Conteggio: 4 | Percentuale: 0.05%
- Valore: 810.0 | Conteggio: 4 | Percentuale: 0.05%
- Valore: 395.0 | Conteggio: 4 | Percentuale: 0.05%
- Valore: 160.0 | Conteggio: 4 | Percentuale: 0.05%
- Valore: 412.0 | Conteggio: 4 | Percentuale: 0.05%
- Valore: 41.0 | Conteggio: 4 | Percentuale: 0.05%
- Valore: 48.0 | Conteggio: 4 | Percentuale: 0.05%
- Valore: 1125.0 | Conteggio: 4 | Percentuale: 0.05%
- Valore: 61.0 | Conteggio: 4 | Percentuale: 0.05%
- Valore: 600.0 | Conteggio: 4 | Percentuale: 0.05%
- Valore: 280.0 | Conteggio: 4 | Percentuale: 0.05%
- Valore: 193.0 | Conteggio: 4 | Percentuale: 0.05%
- Valore: 180.0 | Conteggio: 4 | Percentuale: 0.05%
- Valore: 236.0 | Conteggio: 4 | Percentuale: 0.05%
- Valore: 138.0 | Conteggio: 4 | Percentuale: 0.05%
- Valore: 71.0 | Conteggio: 4 | Percentuale: 0.05%
- Valore: 131.0 | Conteggio: 4 | Percentuale: 0.05%
- Valore: 49.0 | Conteggio: 4 | Percentuale: 0.05%
- Valore: 717.0 | Conteggio: 4 | Percentuale: 0.05%
- Valore: 194.0 | Conteggio: 4 | Percentuale: 0.05%
- Valore: 57.0 | Conteggio: 4 | Percentuale: 0.05%
- Valore: 124.0 | Conteggio: 4 | Percentuale: 0.05%
- Valore: 335.0 | Conteggio: 4 | Percentuale: 0.05%
- Valore: 784.0 | Conteggio: 4 | Percentuale: 0.05%
- Valore: 42.0 | Conteggio: 4 | Percentuale: 0.05%
- Valore: 896.0 | Conteggio: 4 | Percentuale: 0.05%
- Valore: 116.0 | Conteggio: 4 | Percentuale: 0.05%
- Valore: 175.0 | Conteggio: 4 | Percentuale: 0.05%
- Valore: 584.0 | Conteggio: 4 | Percentuale: 0.05%
- Valore: 654.0 | Conteggio: 4 | Percentuale: 0.05%
- Valore: 90.0 | Conteggio: 4 | Percentuale: 0.05%
- Valore: 86.0 | Conteggio: 4 | Percentuale: 0.05%
- Valore: 80.0 | Conteggio: 4 | Percentuale: 0.05%
- Valore: 281.0 | Conteggio: 4 | Percentuale: 0.05%
- Valore: 157.0 | Conteggio: 4 | Percentuale: 0.05%
- Valore: 95.0 | Conteggio: 4 | Percentuale: 0.05%
- Valore: 63.0 | Conteggio: 4 | Percentuale: 0.05%
- Valore: 153.0 | Conteggio: 4 | Percentuale: 0.05%
- Valore: 592.0 | Conteggio: 4 | Percentuale: 0.05%
- Valore: 605.0 | Conteggio: 4 | Percentuale: 0.05%
- Valore: 509.0 | Conteggio: 4 | Percentuale: 0.05%
- Valore: 785.0 | Conteggio: 4 | Percentuale: 0.05%
- Valore: 70.0 | Conteggio: 4 | Percentuale: 0.05%
- Valore: 779.0 | Conteggio: 4 | Percentuale: 0.05%
- Valore: 65.0 | Conteggio: 4 | Percentuale: 0.05%
- Valore: 168.0 | Conteggio: 3 | Percentuale: 0.03%
- Valore: 195.0 | Conteggio: 3 | Percentuale: 0.03%
- Valore: 184.0 | Conteggio: 3 | Percentuale: 0.03%
- Valore: 1208.0 | Conteggio: 3 | Percentuale: 0.03%
- Valore: 282.0 | Conteggio: 3 | Percentuale: 0.03%
- Valore: 1080.0 | Conteggio: 3 | Percentuale: 0.03%
- Valore: 314.0 | Conteggio: 3 | Percentuale: 0.03%
- Valore: 878.0 | Conteggio: 3 | Percentuale: 0.03%
- Valore: 109.0 | Conteggio: 3 | Percentuale: 0.03%
- Valore: 306.0 | Conteggio: 3 | Percentuale: 0.03%
- Valore: 77.0 | Conteggio: 3 | Percentuale: 0.03%
- Valore: 741.0 | Conteggio: 3 | Percentuale: 0.03%
- Valore: 97.0 | Conteggio: 3 | Percentuale: 0.03%
- Valore: 918.0 | Conteggio: 3 | Percentuale: 0.03%
- Valore: 279.0 | Conteggio: 3 | Percentuale: 0.03%
- Valore: 75.0 | Conteggio: 3 | Percentuale: 0.03%
- Valore: 420.0 | Conteggio: 3 | Percentuale: 0.03%
- Valore: 247.0 | Conteggio: 3 | Percentuale: 0.03%
- Valore: 794.0 | Conteggio: 3 | Percentuale: 0.03%
- Valore: 653.0 | Conteggio: 3 | Percentuale: 0.03%
- Valore: 216.0 | Conteggio: 3 | Percentuale: 0.03%
- Valore: 669.0 | Conteggio: 3 | Percentuale: 0.03%
- Valore: 54.0 | Conteggio: 3 | Percentuale: 0.03%
- Valore: 110.0 | Conteggio: 3 | Percentuale: 0.03%
- Valore: 564.0 | Conteggio: 3 | Percentuale: 0.03%
- Valore: 1049.0 | Conteggio: 3 | Percentuale: 0.03%
- Valore: 185.0 | Conteggio: 3 | Percentuale: 0.03%
- Valore: 287.0 | Conteggio: 3 | Percentuale: 0.03%
- Valore: 230.0 | Conteggio: 3 | Percentuale: 0.03%
- Valore: 537.0 | Conteggio: 3 | Percentuale: 0.03%
- Valore: 700.0 | Conteggio: 3 | Percentuale: 0.03%
- Valore: 222.0 | Conteggio: 3 | Percentuale: 0.03%
- Valore: 1026.0 | Conteggio: 3 | Percentuale: 0.03%
- Valore: 496.0 | Conteggio: 3 | Percentuale: 0.03%
- Valore: 334.0 | Conteggio: 3 | Percentuale: 0.03%
- Valore: 780.0 | Conteggio: 3 | Percentuale: 0.03%
- Valore: 493.0 | Conteggio: 3 | Percentuale: 0.03%
- Valore: 510.0 | Conteggio: 3 | Percentuale: 0.03%
- Valore: 50.0 | Conteggio: 3 | Percentuale: 0.03%
- Valore: 219.0 | Conteggio: 3 | Percentuale: 0.03%
- Valore: 688.0 | Conteggio: 3 | Percentuale: 0.03%
- Valore: 722.0 | Conteggio: 3 | Percentuale: 0.03%
- Valore: 716.0 | Conteggio: 3 | Percentuale: 0.03%
- Valore: 64.0 | Conteggio: 3 | Percentuale: 0.03%
- Valore: 58.0 | Conteggio: 3 | Percentuale: 0.03%
- Valore: 910.0 | Conteggio: 3 | Percentuale: 0.03%
- Valore: 641.0 | Conteggio: 3 | Percentuale: 0.03%
- Valore: 756.0 | Conteggio: 3 | Percentuale: 0.03%
- Valore: 106.0 | Conteggio: 3 | Percentuale: 0.03%
- Valore: 782.0 | Conteggio: 3 | Percentuale: 0.03%
- Valore: 297.0 | Conteggio: 3 | Percentuale: 0.03%
- Valore: 302.0 | Conteggio: 3 | Percentuale: 0.03%
- Valore: 126.0 | Conteggio: 3 | Percentuale: 0.03%
- Valore: 173.0 | Conteggio: 3 | Percentuale: 0.03%
- Valore: 914.0 | Conteggio: 3 | Percentuale: 0.03%
- Valore: 442.0 | Conteggio: 3 | Percentuale: 0.03%
- Valore: 140.0 | Conteggio: 3 | Percentuale: 0.03%
- Valore: 355.0 | Conteggio: 3 | Percentuale: 0.03%
- Valore: 313.0 | Conteggio: 3 | Percentuale: 0.03%
- Valore: 382.0 | Conteggio: 3 | Percentuale: 0.03%
- Valore: 69.0 | Conteggio: 3 | Percentuale: 0.03%
- Valore: 1425.0 | Conteggio: 3 | Percentuale: 0.03%
- Valore: 807.0 | Conteggio: 3 | Percentuale: 0.03%
- Valore: 213.0 | Conteggio: 3 | Percentuale: 0.03%
- Valore: 235.0 | Conteggio: 3 | Percentuale: 0.03%
- Valore: 715.0 | Conteggio: 3 | Percentuale: 0.03%
- Valore: 275.0 | Conteggio: 3 | Percentuale: 0.03%
- Valore: 62.0 | Conteggio: 3 | Percentuale: 0.03%
- Valore: 113.0 | Conteggio: 3 | Percentuale: 0.03%
- Valore: 640.0 | Conteggio: 3 | Percentuale: 0.03%
- Valore: 123.0 | Conteggio: 3 | Percentuale: 0.03%
- Valore: 817.0 | Conteggio: 3 | Percentuale: 0.03%
- Valore: 212.0 | Conteggio: 3 | Percentuale: 0.03%
- Valore: 125.0 | Conteggio: 3 | Percentuale: 0.03%
- Valore: 397.0 | Conteggio: 3 | Percentuale: 0.03%
- Valore: 588.0 | Conteggio: 3 | Percentuale: 0.03%
- Valore: 165.0 | Conteggio: 3 | Percentuale: 0.03%
- Valore: 338.0 | Conteggio: 3 | Percentuale: 0.03%
- Valore: 666.0 | Conteggio: 3 | Percentuale: 0.03%
- Valore: 652.0 | Conteggio: 3 | Percentuale: 0.03%
- Valore: 268.0 | Conteggio: 3 | Percentuale: 0.03%
- Valore: 196.0 | Conteggio: 3 | Percentuale: 0.03%
- Valore: 257.0 | Conteggio: 3 | Percentuale: 0.03%
- Valore: 87.0 | Conteggio: 3 | Percentuale: 0.03%
- Valore: 790.0 | Conteggio: 3 | Percentuale: 0.03%
- Valore: 690.0 | Conteggio: 3 | Percentuale: 0.03%
- Valore: 773.0 | Conteggio: 3 | Percentuale: 0.03%
- Valore: 479.0 | Conteggio: 3 | Percentuale: 0.03%
- Valore: 1283.0 | Conteggio: 3 | Percentuale: 0.03%
- Valore: 704.0 | Conteggio: 3 | Percentuale: 0.03%
- Valore: 317.0 | Conteggio: 3 | Percentuale: 0.03%
- Valore: 96.0 | Conteggio: 3 | Percentuale: 0.03%
- Valore: 574.0 | Conteggio: 3 | Percentuale: 0.03%
- Valore: 1376.0 | Conteggio: 3 | Percentuale: 0.03%
- Valore: 747.0 | Conteggio: 3 | Percentuale: 0.03%
- Valore: 714.0 | Conteggio: 3 | Percentuale: 0.03%
- Valore: 108.0 | Conteggio: 3 | Percentuale: 0.03%
- Valore: 370.0 | Conteggio: 2 | Percentuale: 0.02%
- Valore: 292.0 | Conteggio: 2 | Percentuale: 0.02%
- Valore: 476.0 | Conteggio: 2 | Percentuale: 0.02%
- Valore: 2337.0 | Conteggio: 2 | Percentuale: 0.02%
- Valore: 489.0 | Conteggio: 2 | Percentuale: 0.02%
- Valore: 725.0 | Conteggio: 2 | Percentuale: 0.02%
- Valore: 1186.0 | Conteggio: 2 | Percentuale: 0.02%
- Valore: 134.0 | Conteggio: 2 | Percentuale: 0.02%
- Valore: 4313.0 | Conteggio: 2 | Percentuale: 0.02%
- Valore: 726.0 | Conteggio: 2 | Percentuale: 0.02%
- Valore: 925.0 | Conteggio: 2 | Percentuale: 0.02%
- Valore: 544.0 | Conteggio: 2 | Percentuale: 0.02%
- Valore: 746.0 | Conteggio: 2 | Percentuale: 0.02%
- Valore: 551.0 | Conteggio: 2 | Percentuale: 0.02%
- Valore: 557.0 | Conteggio: 2 | Percentuale: 0.02%
- Valore: 477.0 | Conteggio: 2 | Percentuale: 0.02%
- Valore: 499.0 | Conteggio: 2 | Percentuale: 0.02%
- Valore: 261.0 | Conteggio: 2 | Percentuale: 0.02%
- Valore: 4715.0 | Conteggio: 2 | Percentuale: 0.02%
- Valore: 400.0 | Conteggio: 2 | Percentuale: 0.02%
- Valore: 454.0 | Conteggio: 2 | Percentuale: 0.02%
- Valore: <NULL> | Conteggio: 2 | Percentuale: 0.02%
- Valore: 478.0 | Conteggio: 2 | Percentuale: 0.02%
- Valore: 444.0 | Conteggio: 2 | Percentuale: 0.02%
- Valore: 823.0 | Conteggio: 2 | Percentuale: 0.02%
- Valore: 416.0 | Conteggio: 2 | Percentuale: 0.02%
- Valore: 5063.0 | Conteggio: 2 | Percentuale: 0.02%
- Valore: 286.0 | Conteggio: 2 | Percentuale: 0.02%
- Valore: 1211.0 | Conteggio: 2 | Percentuale: 0.02%
- Valore: 440.0 | Conteggio: 2 | Percentuale: 0.02%
- Valore: 358.0 | Conteggio: 2 | Percentuale: 0.02%
- Valore: 583.0 | Conteggio: 2 | Percentuale: 0.02%
- Valore: 769.0 | Conteggio: 2 | Percentuale: 0.02%
- Valore: 764.0 | Conteggio: 2 | Percentuale: 0.02%
- Valore: 1451.0 | Conteggio: 2 | Percentuale: 0.02%
- Valore: 128.0 | Conteggio: 2 | Percentuale: 0.02%
- Valore: 88.0 | Conteggio: 2 | Percentuale: 0.02%
- Valore: 85.0 | Conteggio: 2 | Percentuale: 0.02%
- Valore: 748.0 | Conteggio: 2 | Percentuale: 0.02%
- Valore: 326.0 | Conteggio: 2 | Percentuale: 0.02%
- Valore: 602.0 | Conteggio: 2 | Percentuale: 0.02%
- Valore: 2972.0 | Conteggio: 2 | Percentuale: 0.02%
- Valore: 361.0 | Conteggio: 2 | Percentuale: 0.02%
- Valore: 354.0 | Conteggio: 2 | Percentuale: 0.02%
- Valore: 433.0 | Conteggio: 2 | Percentuale: 0.02%
- Valore: 590.0 | Conteggio: 2 | Percentuale: 0.02%
- Valore: 1339.0 | Conteggio: 2 | Percentuale: 0.02%
- Valore: 593.0 | Conteggio: 2 | Percentuale: 0.02%
- Valore: 679.0 | Conteggio: 2 | Percentuale: 0.02%
- Valore: 639.0 | Conteggio: 2 | Percentuale: 0.02%
- Valore: 329.0 | Conteggio: 2 | Percentuale: 0.02%
- Valore: 763.0 | Conteggio: 2 | Percentuale: 0.02%
- Valore: 434.0 | Conteggio: 2 | Percentuale: 0.02%
- Valore: 1108.0 | Conteggio: 2 | Percentuale: 0.02%
- Valore: 1180.0 | Conteggio: 2 | Percentuale: 0.02%
- Valore: 776.0 | Conteggio: 2 | Percentuale: 0.02%
- Valore: 421.0 | Conteggio: 2 | Percentuale: 0.02%
- Valore: 664.0 | Conteggio: 2 | Percentuale: 0.02%
- Valore: 804.0 | Conteggio: 2 | Percentuale: 0.02%
- Valore: 706.0 | Conteggio: 2 | Percentuale: 0.02%
- Valore: 5974.0 | Conteggio: 2 | Percentuale: 0.02%
- Valore: 1487.0 | Conteggio: 2 | Percentuale: 0.02%
- Valore: 3578.0 | Conteggio: 2 | Percentuale: 0.02%
- Valore: 699.0 | Conteggio: 2 | Percentuale: 0.02%
- Valore: 3585.0 | Conteggio: 2 | Percentuale: 0.02%
- Valore: 220.0 | Conteggio: 2 | Percentuale: 0.02%
- Valore: 181.0 | Conteggio: 2 | Percentuale: 0.02%
- Valore: 177.0 | Conteggio: 2 | Percentuale: 0.02%
- Valore: 752.0 | Conteggio: 2 | Percentuale: 0.02%
- Valore: 775.0 | Conteggio: 2 | Percentuale: 0.02%
- Valore: 91.0 | Conteggio: 2 | Percentuale: 0.02%
- Valore: 692.0 | Conteggio: 2 | Percentuale: 0.02%
- Valore: 198.0 | Conteggio: 2 | Percentuale: 0.02%
- Valore: 753.0 | Conteggio: 2 | Percentuale: 0.02%
- Valore: 2052.0 | Conteggio: 2 | Percentuale: 0.02%
- Valore: 120.0 | Conteggio: 2 | Percentuale: 0.02%
- Valore: 336.0 | Conteggio: 2 | Percentuale: 0.02%
- Valore: 217.0 | Conteggio: 2 | Percentuale: 0.02%
- Valore: 630.0 | Conteggio: 2 | Percentuale: 0.02%
- Valore: 406.0 | Conteggio: 2 | Percentuale: 0.02%
- Valore: 545.0 | Conteggio: 2 | Percentuale: 0.02%
- Valore: 1855.0 | Conteggio: 2 | Percentuale: 0.02%
- Valore: 494.0 | Conteggio: 2 | Percentuale: 0.02%
- Valore: 176.0 | Conteggio: 2 | Percentuale: 0.02%
- Valore: 1674.0 | Conteggio: 2 | Percentuale: 0.02%
- Valore: 952.0 | Conteggio: 2 | Percentuale: 0.02%
- Valore: 377.0 | Conteggio: 2 | Percentuale: 0.02%
- Valore: 4209.0 | Conteggio: 2 | Percentuale: 0.02%
- Valore: 269.0 | Conteggio: 2 | Percentuale: 0.02%
- Valore: 511.0 | Conteggio: 2 | Percentuale: 0.02%
- Valore: 463.0 | Conteggio: 2 | Percentuale: 0.02%
- Valore: 242.0 | Conteggio: 2 | Percentuale: 0.02%
- Valore: 745.0 | Conteggio: 2 | Percentuale: 0.02%
- Valore: 360.0 | Conteggio: 2 | Percentuale: 0.02%
- Valore: 927.0 | Conteggio: 2 | Percentuale: 0.02%
