PassengerId,n_missing,colonne_mancanti
0761_01,1,Destination
0764_01,1,CryoSleep
0765_02,1,Spa
0768_02,1,Spa
0770_02,1,Age
0770_03,1,CryoSleep
0770_06,1,Name
0772_03,1,HomePlanet
0779_01,1,Destination
0787_01,1,VRDeck
0788_01,1,Name
0790_01,1,ShoppingMall
0794_01,1,CryoSleep
0799_01,1,Age
0809_01,1,VRDeck
0809_02,1,Age
0815_01,1,Spa
0819_01,1,VIP
0823_02,1,Cabin
0826_01,1,Cabin
0828_02,1,ShoppingMall
0833_01,1,Cabin
0840_01,1,CryoSleep
0853_01,1,HomePlanet
0860_01,1,Name
0867_01,1,Age
0870_01,1,Age
0873_01,1,RoomService
0875_01,1,Name
0879_01,1,Cabin
0889_02,1,VIP
0898_01,1,VIP
0906_01,1,Spa
0907_02,1,ShoppingMall
0911_01,1,ShoppingMall
0911_02,1,HomePlanet
0913_01,1,VIP
0922_01,1,VRDeck
0923_01,1,Age
0925_03,1,FoodCourt
0927_01,1,FoodCourt
0931_01,1,FoodCourt
0932_01,1,Cabin
0933_01,1,Name
0939_01,1,Destination
0953_01,1,Spa
0955_01,1,RoomService
0960_01,1,ShoppingMall
0964_01,1,VRDeck
0971_01,1,Name
0978_01,1,RoomService
0979_01,1,Destination
0984_02,1,Name
0984_07,1,Age
0985_01,1,ShoppingMall
0988_01,1,HomePlanet
0991_01,1,VIP
0992_04,1,Cabin
1000_01,1,Destination
1004_01,1,VIP
1006_03,1,Cabin
1011_01,1,Cabin
1015_01,1,VIP
1019_01,1,Destination
1024_03,1,HomePlanet
1026_01,1,RoomService
1027_03,1,ShoppingMall
1036_01,1,FoodCourt
1041_01,1,Cabin
1046_01,1,VRDeck
1047_01,1,Name
1051_01,1,VRDeck
1052_01,1,RoomService
1056_01,1,HomePlanet
1060_01,1,RoomService
1063_01,1,HomePlanet
1063_02,1,FoodCourt
1071_01,1,HomePlanet
1077_01,1,CryoSleep
1079_01,1,VRDeck
1080_01,1,FoodCourt
1086_02,1,VRDeck
1086_04,1,Destination
1089_01,1,HomePlanet
1094_01,1,VIP
1095_01,1,Cabin
1096_01,1,Age
1100_02,1,RoomService
1102_01,1,CryoSleep
1108_02,1,Name
1121_01,1,VIP
1130_01,1,RoomService
1130_02,1,RoomService
1132_01,1,Cabin
1134_01,1,Cabin
1144_03,1,VRDeck
1146_01,1,VIP
1148_01,1,FoodCourt
1148_02,1,Age
1148_04,1,Cabin
1148_05,1,Destination
1148_06,1,ShoppingMall
1155_01,1,Name
1163_01,1,Name
1167_01,1,ShoppingMall
1169_01,1,CryoSleep
1173_01,1,VIP
1174_01,1,ShoppingMall
1180_01,1,FoodCourt
1182_03,1,VIP
1185_01,1,RoomService
1186_02,1,VIP
1208_01,1,RoomService
1210_01,1,VIP
1211_07,1,Spa
1213_01,1,FoodCourt
1228_01,1,Cabin
1238_02,1,Name
1248_01,1,FoodCourt
1255_01,1,Spa
1267_01,1,VIP
1282_01,1,VIP
1283_01,1,FoodCourt
1289_01,1,VRDeck
1293_01,1,ShoppingMall
1304_03,1,ShoppingMall
1308_01,1,Cabin
1311_01,1,Destination
1316_02,1,ShoppingMall
1326_01,1,ShoppingMall
1336_01,1,Name
1337_01,1,CryoSleep
1347_01,1,HomePlanet
1348_02,1,Age
1351_01,1,Name
1353_03,1,VRDeck
1362_01,1,Name
1366_01,1,FoodCourt
1371_01,1,CryoSleep
1378_01,1,Spa
1382_01,1,Destination
1384_05,1,Destination
1385_01,1,HomePlanet
1390_01,1,ShoppingMall
1391_03,1,Destination
1393_02,1,Name
1401_01,1,CryoSleep
1402_02,1,ShoppingMall
1403_01,1,Spa
1404_02,1,Cabin
1412_01,1,ShoppingMall
1415_01,1,FoodCourt
1420_01,1,Age
1421_01,1,ShoppingMall
1434_01,1,VRDeck
1434_02,1,Cabin
1435_01,1,Destination
1439_02,1,Spa
1452_02,1,Cabin
1458_01,1,HomePlanet
1463_01,1,Name
1467_01,1,HomePlanet
1474_01,1,Spa
1478_01,1,Name
1478_02,1,RoomService
1484_01,1,CryoSleep
1488_01,1,VRDeck
1490_01,1,VRDeck
1491_03,1,Name
1498_01,1,ShoppingMall
1500_04,1,CryoSleep
1506_01,1,Destination
1507_01,1,Name
1507_04,1,Spa
1509_01,1,VIP
1511_01,1,FoodCourt
1523_01,1,FoodCourt
1526_01,1,FoodCourt
1539_01,1,CryoSleep
1545_01,1,Cabin
1548_01,1,VIP
1550_02,1,Cabin
1568_01,1,Cabin
1568_02,1,ShoppingMall
1572_01,1,VIP
1581_02,1,Cabin
1584_02,1,RoomService
1594_01,1,Age
1595_01,1,Spa
1597_01,1,VRDeck
1599_01,1,ShoppingMall
1613_01,1,Cabin
1615_02,1,ShoppingMall
1624_01,1,Spa
1626_01,1,RoomService
1632_01,1,FoodCourt
1633_01,1,VRDeck
1635_01,1,ShoppingMall
1651_01,1,Spa
1653_01,1,Destination
1656_01,1,VRDeck
1658_01,1,Age
1660_01,1,CryoSleep
1661_04,1,VRDeck
1666_01,1,Spa
1671_01,1,Age
1674_01,1,Name
1677_01,1,VRDeck
1685_01,1,Cabin
1688_03,1,RoomService
1694_01,1,FoodCourt
1697_01,1,VIP
1698_01,1,HomePlanet
1709_03,1,Cabin
1718_01,1,Cabin
1719_01,1,ShoppingMall
1723_01,1,VIP
1738_01,1,VRDeck
1745_01,1,Name
1768_01,1,Age
1771_01,1,Spa
1782_01,1,Cabin
1783_02,1,Spa
1785_01,1,Spa
1796_01,1,VIP
1799_01,1,VIP
1812_01,1,HomePlanet
1821_01,1,RoomService
1826_01,1,RoomService
1828_01,1,Destination
1831_01,1,VRDeck
1843_01,1,Spa
1847_01,1,ShoppingMall
1848_01,1,Age
1859_01,1,Destination
1864_01,1,VRDeck
1865_01,1,VIP
1865_05,1,CryoSleep
1865_06,1,HomePlanet
1871_01,1,VIP
1873_01,1,FoodCourt
1874_02,1,CryoSleep
1882_01,1,CryoSleep
1882_02,1,Cabin
1891_01,1,Name
1892_02,1,Cabin
1898_01,1,RoomService
1907_01,1,RoomService
1915_01,1,Age
1916_02,1,Name
1926_01,1,HomePlanet
1933_01,1,Spa
1942_01,1,VRDeck
1952_01,1,Name
1956_01,1,Name
1956_02,1,VIP
1959_02,1,Name
1962_03,1,RoomService
1964_01,1,RoomService
1967_01,1,VIP
1969_01,1,RoomService
1976_01,1,ShoppingMall
1976_02,1,Spa
1984_01,1,Cabin
1991_01,1,VIP
1992_01,1,RoomService
1997_01,1,CryoSleep
2003_01,1,VIP
2006_01,1,RoomService
2010_01,1,VRDeck
2011_01,1,VRDeck
2019_02,1,CryoSleep
2024_01,1,HomePlanet
2026_01,1,Age
2041_01,1,RoomService
2043_01,1,RoomService
2044_01,1,VIP
2045_01,1,VRDeck
2051_01,1,Name
2054_01,1,FoodCourt
2055_01,1,Age
2055_02,1,HomePlanet
2055_03,1,Name
2060_01,1,HomePlanet
2070_01,1,RoomService
2084_02,1,Age
2089_01,1,RoomService
2091_01,1,FoodCourt
2092_04,1,Name
2096_02,1,Spa
2099_01,1,Destination
2104_02,1,Cabin
2117_01,1,Cabin
2126_01,1,Age
2131_01,1,FoodCourt
2133_01,1,Age
2135_02,1,CryoSleep
2138_01,1,VIP
2142_01,1,VIP
2144_01,1,Cabin
2147_01,1,Age
2153_01,1,VRDeck
2164_01,1,VIP
2167_01,1,VRDeck
2177_01,1,Spa
2189_01,1,CryoSleep
2190_01,1,Destination
2196_01,1,RoomService
2201_01,1,VRDeck
2209_01,1,Name
2215_02,1,Name
2215_04,1,Destination
2219_01,1,Cabin
2223_01,1,Age
2228_01,1,Spa
2234_04,1,VRDeck
2234_05,1,VRDeck
2234_07,1,CryoSleep
2257_01,1,ShoppingMall
2258_01,1,RoomService
2272_01,1,Name
2272_02,1,Cabin
2278_01,1,ShoppingMall
2279_01,1,ShoppingMall
2282_01,1,CryoSleep
2287_01,1,VRDeck
2291_03,1,Name
2295_01,1,Spa
2296_01,1,ShoppingMall
2298_01,1,Spa
2300_01,1,FoodCourt
2300_02,1,ShoppingMall
2301_02,1,FoodCourt
2305_01,1,Name
2306_02,1,Age
2319_01,1,HomePlanet
2320_01,1,Age
2329_01,1,FoodCourt
2345_01,1,FoodCourt
2347_01,1,CryoSleep
2347_06,1,FoodCourt
2347_07,1,RoomService
2353_01,1,Spa
2356_02,1,FoodCourt
2356_03,1,FoodCourt
2361_02,1,Destination
2365_01,1,ShoppingMall
2382_01,1,Name
2384_05,1,Spa
2384_06,1,CryoSleep
2387_01,1,RoomService
2392_01,1,HomePlanet
2395_01,1,VRDeck
2402_01,1,ShoppingMall
2403_01,1,Destination
2404_04,1,HomePlanet
2410_01,1,ShoppingMall
2411_01,1,Spa
2421_01,1,VIP
2432_01,1,Spa
2433_01,1,Spa
2436_01,1,Spa
2442_01,1,VIP
2445_01,1,Destination
2451_01,1,HomePlanet
2452_01,1,VRDeck
2461_01,1,HomePlanet
2462_01,1,VIP
2463_01,1,Spa
2466_01,1,RoomService
2474_01,1,ShoppingMall
2475_01,1,Age
2476_01,1,VIP
2477_01,1,FoodCourt
2479_01,1,Cabin
2497_01,1,Cabin
2503_01,1,Age
2505_01,1,HomePlanet
2506_01,1,HomePlanet
2508_01,1,FoodCourt
2513_01,1,Cabin
2521_01,1,VIP
2522_01,1,VIP
2523_01,1,ShoppingMall
2524_01,1,Spa
2527_01,1,VIP
2534_01,1,Spa
2541_01,1,Destination
2547_01,1,Cabin
2552_02,1,VRDeck
2558_02,1,CryoSleep
2559_01,1,Cabin
2560_02,1,Spa
2589_03,1,Name
2595_02,1,CryoSleep
2597_02,1,HomePlanet
2599_01,1,Cabin
2606_01,1,Age
2606_02,1,VRDeck
2609_01,1,Age
2616_01,1,CryoSleep
2618_01,1,HomePlanet
2624_01,1,VRDeck
2627_01,1,VIP
2633_01,1,VRDeck
2634_01,1,VRDeck
2635_01,1,VRDeck
2642_01,1,HomePlanet
2658_01,1,VIP
2659_01,1,RoomService
2660_01,1,ShoppingMall
2662_01,1,Age
2679_01,1,Age
2688_01,1,HomePlanet
2692_01,1,Cabin
2693_04,1,Age
2697_01,1,VIP
2709_03,1,Destination
2709_04,1,VIP
2714_01,1,VIP
2730_01,1,HomePlanet
2730_03,1,FoodCourt
2732_01,1,VIP
2739_01,1,Spa
2745_01,1,Destination
2750_01,1,VIP
2751_01,1,Destination
2752_02,1,Age
2758_01,1,RoomService
2760_01,1,CryoSleep
2760_02,1,Name
2768_01,1,ShoppingMall
2769_01,1,VRDeck
2778_02,1,RoomService
2785_01,1,RoomService
2787_01,1,FoodCourt
2790_01,1,VIP
2796_01,1,Name
2798_01,1,ShoppingMall
2799_02,1,HomePlanet
2814_01,1,HomePlanet
2817_01,1,HomePlanet
2822_03,1,FoodCourt
2822_04,1,Destination
2822_05,1,HomePlanet
2825_01,1,CryoSleep
2832_01,1,Name
2835_01,1,ShoppingMall
2837_01,1,ShoppingMall
2852_01,1,Destination
2854_01,1,FoodCourt
2856_01,1,Spa
2857_01,1,FoodCourt
2858_03,1,FoodCourt
2859_01,1,Age
2871_01,1,Spa
2873_01,1,FoodCourt
2884_01,1,Spa
2900_01,1,Cabin
2905_01,1,ShoppingMall
2906_01,1,Destination
2908_01,1,Destination
2908_02,1,HomePlanet
2919_03,1,RoomService
2926_01,1,Cabin
2928_02,1,ShoppingMall
2930_01,1,RoomService
2935_01,1,Name
2941_01,1,VIP
2944_02,1,RoomService
2949_01,1,Spa
2953_01,1,HomePlanet
2959_01,1,Name
2968_01,1,FoodCourt
2969_01,1,Destination
2975_01,1,CryoSleep
2993_01,1,ShoppingMall
2996_01,1,Name
2998_01,1,Destination
3001_02,1,Spa
3012_01,1,ShoppingMall
3025_01,1,Name
3029_02,1,CryoSleep
3034_01,1,Cabin
3038_01,1,VIP
3047_01,1,FoodCourt
3048_01,1,Spa
3053_01,1,Cabin
3060_01,1,Spa
3060_03,1,CryoSleep
3071_01,1,RoomService
3071_02,1,FoodCourt
3076_01,1,Age
3085_01,1,CryoSleep
3087_01,1,CryoSleep
3091_01,1,Cabin
3091_02,1,RoomService
3092_01,1,RoomService
3104_02,1,FoodCourt
3112_01,1,VIP
3113_01,1,RoomService
3117_01,1,Name
3123_01,1,Destination
3131_03,1,HomePlanet
3138_01,1,Cabin
3143_01,1,VRDeck
3149_01,1,VRDeck
3158_01,1,FoodCourt
3163_02,1,CryoSleep
3164_01,1,VIP
3172_01,1,HomePlanet
3174_01,1,Destination
3180_01,1,RoomService
3189_02,1,CryoSleep
3192_01,1,Spa
3193_01,1,FoodCourt
3195_05,1,Cabin
3197_01,1,ShoppingMall
3204_01,1,RoomService
3204_03,1,ShoppingMall
3210_01,1,Spa
3211_02,1,ShoppingMall
3215_01,1,HomePlanet
3223_01,1,Age
3224_01,1,CryoSleep
3241_01,1,Age
3248_01,1,FoodCourt
3260_01,1,Destination
3272_01,1,CryoSleep
3274_03,1,VIP
3279_02,1,Spa
3282_02,1,VIP
3283_01,1,Name
3287_01,1,RoomService
3287_02,1,Cabin
3287_03,1,FoodCourt
3292_02,1,Cabin
3294_02,1,Age
3298_01,1,Destination
3299_01,1,CryoSleep
3300_01,1,Destination
3301_04,1,CryoSleep
3326_01,1,FoodCourt
3332_01,1,VIP
3339_01,1,ShoppingMall
3349_01,1,Spa
3353_01,1,Age
3361_04,1,HomePlanet
3380_01,1,VRDeck
3384_02,1,ShoppingMall
3390_01,1,VRDeck
3401_01,1,VRDeck
3410_01,1,VRDeck
3417_01,1,HomePlanet
3418_01,1,RoomService
3421_01,1,VRDeck
3422_01,1,CryoSleep
3423_01,1,VIP
3431_01,1,Age
3439_01,1,FoodCourt
3439_02,1,CryoSleep
3439_03,1,HomePlanet
3443_01,1,ShoppingMall
3444_03,1,VRDeck
3445_01,1,ShoppingMall
3458_01,1,Spa
3470_01,1,Age
3474_04,1,ShoppingMall
3475_02,1,ShoppingMall
3489_01,1,CryoSleep
3496_01,1,Age
3496_02,1,Name
3501_01,1,Cabin
3518_01,1,VIP
3520_01,1,HomePlanet
3520_02,1,Cabin
3521_01,1,Cabin
3523_01,1,HomePlanet
3528_01,1,VRDeck
3535_01,1,Cabin
3546_01,1,VRDeck
3547_01,1,FoodCourt
3553_01,1,Cabin
3570_01,1,HomePlanet
3578_01,1,Cabin
3592_02,1,ShoppingMall
3598_01,1,Cabin
3602_01,1,CryoSleep
3607_01,1,Destination
3608_03,1,CryoSleep
3609_01,1,VRDeck
3609_03,1,CryoSleep
3610_01,1,Destination
3610_02,1,FoodCourt
3615_02,1,Age
3622_02,1,RoomService
3624_01,1,HomePlanet
3641_02,1,RoomService
3641_03,1,Cabin
3645_02,1,Age
3660_01,1,Age
3662_01,1,RoomService
3664_01,1,FoodCourt
3665_01,1,ShoppingMall
3680_02,1,Name
3681_02,1,FoodCourt
3699_02,1,VIP
3700_01,1,Spa
3704_01,1,Spa
3707_02,1,Destination
3708_01,1,Age
3714_01,1,CryoSleep
3714_02,1,Spa
3715_01,1,RoomService
3719_01,1,Cabin
3726_01,1,Spa
3729_01,1,Name
3732_01,1,RoomService
3732_02,1,Name
3732_04,1,ShoppingMall
3742_01,1,ShoppingMall
3745_01,1,RoomService
3747_03,1,CryoSleep
3748_01,1,Age
3750_02,1,ShoppingMall
3751_01,1,Cabin
3753_01,1,Name
3754_01,1,VRDeck
3755_01,1,Cabin
3755_02,1,Name
3756_01,1,RoomService
3761_01,1,HomePlanet
3765_01,1,Spa
3770_01,1,Spa
3772_02,1,FoodCourt
3775_02,1,VRDeck
3784_01,1,FoodCourt
3786_01,1,RoomService
3787_03,1,Age
3795_01,1,Age
3805_01,1,VRDeck
3812_01,1,VRDeck
3817_01,1,VRDeck
3818_01,1,Cabin
3824_01,1,VRDeck
3826_01,1,HomePlanet
3836_01,1,Name
3852_01,1,Age
3856_01,1,Destination
3857_01,1,ShoppingMall
3862_03,1,Name
3862_06,1,VRDeck
3862_07,1,FoodCourt
3864_01,1,Age
3866_01,1,HomePlanet
3868_01,1,FoodCourt
3868_03,1,Destination
3874_01,1,Age
3883_03,1,Spa
3895_02,1,FoodCourt
3911_01,1,HomePlanet
