feature,value,count,percentage
FoodCourt,43.0,8,0.092
FoodCourt,28.0,7,0.0805
FoodCourt,56.0,7,0.0805
FoodCourt,104.0,7,0.0805
FoodCourt,59.0,7,0.0805
FoodCourt,38.0,7,0.0805
FoodCourt,36.0,7,0.0805
FoodCourt,46.0,7,0.0805
FoodCourt,83.0,7,0.0805
FoodCourt,19.0,7,0.0805
FoodCourt,37.0,7,0.0805
FoodCourt,51.0,6,0.069
FoodCourt,35.0,6,0.069
FoodCourt,24.0,6,0.069
FoodCourt,76.0,6,0.069
FoodCourt,809.0,6,0.069
FoodCourt,243.0,6,0.069
FoodCourt,84.0,6,0.069
FoodCourt,132.0,6,0.069
FoodCourt,103.0,5,0.0575
FoodCourt,179.0,5,0.0575
FoodCourt,226.0,5,0.0575
FoodCourt,172.0,5,0.0575
FoodCourt,169.0,5,0.0575
FoodCourt,114.0,5,0.0575
FoodCourt,47.0,5,0.0575
FoodCourt,760.0,5,0.0575
FoodCourt,89.0,5,0.0575
FoodCourt,162.0,5,0.0575
FoodCourt,94.0,5,0.0575
FoodCourt,60.0,5,0.0575
FoodCourt,100.0,5,0.0575
FoodCourt,122.0,5,0.0575
FoodCourt,45.0,5,0.0575
FoodCourt,39.0,5,0.0575
FoodCourt,93.0,5,0.0575
FoodCourt,27.0,5,0.0575
FoodCourt,55.0,5,0.0575
FoodCourt,225.0,5,0.0575
FoodCourt,40.0,5,0.0575
FoodCourt,218.0,4,0.046
FoodCourt,26.0,4,0.046
FoodCourt,201.0,4,0.046
FoodCourt,368.0,4,0.046
FoodCourt,316.0,4,0.046
FoodCourt,266.0,4,0.046
FoodCourt,559.0,4,0.046
FoodCourt,170.0,4,0.046
FoodCourt,490.0,4,0.046
FoodCourt,68.0,4,0.046
FoodCourt,142.0,4,0.046
FoodCourt,166.0,4,0.046
FoodCourt,23.0,4,0.046
FoodCourt,847.0,4,0.046
FoodCourt,52.0,4,0.046
FoodCourt,841.0,4,0.046
FoodCourt,810.0,4,0.046
FoodCourt,395.0,4,0.046
FoodCourt,160.0,4,0.046
FoodCourt,412.0,4,0.046
FoodCourt,41.0,4,0.046
FoodCourt,48.0,4,0.046
FoodCourt,1125.0,4,0.046
FoodCourt,61.0,4,0.046
FoodCourt,600.0,4,0.046
FoodCourt,280.0,4,0.046
FoodCourt,193.0,4,0.046
FoodCourt,180.0,4,0.046
FoodCourt,236.0,4,0.046
FoodCourt,138.0,4,0.046
FoodCourt,71.0,4,0.046
FoodCourt,131.0,4,0.046
FoodCourt,49.0,4,0.046
FoodCourt,717.0,4,0.046
FoodCourt,194.0,4,0.046
FoodCourt,57.0,4,0.046
FoodCourt,124.0,4,0.046
FoodCourt,335.0,4,0.046
FoodCourt,784.0,4,0.046
FoodCourt,42.0,4,0.046
FoodCourt,896.0,4,0.046
FoodCourt,116.0,4,0.046
FoodCourt,175.0,4,0.046
FoodCourt,584.0,4,0.046
FoodCourt,654.0,4,0.046
FoodCourt,90.0,4,0.046
FoodCourt,86.0,4,0.046
FoodCourt,80.0,4,0.046
FoodCourt,281.0,4,0.046
FoodCourt,157.0,4,0.046
FoodCourt,95.0,4,0.046
FoodCourt,63.0,4,0.046
FoodCourt,153.0,4,0.046
FoodCourt,592.0,4,0.046
FoodCourt,605.0,4,0.046
FoodCourt,509.0,4,0.046
FoodCourt,785.0,4,0.046
FoodCourt,70.0,4,0.046
FoodCourt,779.0,4,0.046
FoodCourt,65.0,4,0.046
FoodCourt,168.0,3,0.0345
FoodCourt,195.0,3,0.0345
FoodCourt,184.0,3,0.0345
FoodCourt,1208.0,3,0.0345
FoodCourt,282.0,3,0.0345
FoodCourt,1080.0,3,0.0345
FoodCourt,314.0,3,0.0345
FoodCourt,878.0,3,0.0345
FoodCourt,109.0,3,0.0345
FoodCourt,306.0,3,0.0345
FoodCourt,77.0,3,0.0345
FoodCourt,741.0,3,0.0345
FoodCourt,97.0,3,0.0345
FoodCourt,918.0,3,0.0345
FoodCourt,279.0,3,0.0345
FoodCourt,75.0,3,0.0345
FoodCourt,420.0,3,0.0345
FoodCourt,247.0,3,0.0345
FoodCourt,794.0,3,0.0345
FoodCourt,653.0,3,0.0345
FoodCourt,216.0,3,0.0345
FoodCourt,669.0,3,0.0345
FoodCourt,54.0,3,0.0345
FoodCourt,110.0,3,0.0345
FoodCourt,564.0,3,0.0345
FoodCourt,1049.0,3,0.0345
FoodCourt,185.0,3,0.0345
FoodCourt,287.0,3,0.0345
FoodCourt,230.0,3,0.0345
FoodCourt,537.0,3,0.0345
FoodCourt,700.0,3,0.0345
FoodCourt,222.0,3,0.0345
FoodCourt,1026.0,3,0.0345
FoodCourt,496.0,3,0.0345
FoodCourt,334.0,3,0.0345
FoodCourt,780.0,3,0.0345
FoodCourt,493.0,3,0.0345
FoodCourt,510.0,3,0.0345
FoodCourt,50.0,3,0.0345
FoodCourt,219.0,3,0.0345
FoodCourt,688.0,3,0.0345
FoodCourt,722.0,3,0.0345
FoodCourt,716.0,3,0.0345
FoodCourt,64.0,3,0.0345
FoodCourt,58.0,3,0.0345
FoodCourt,910.0,3,0.0345
FoodCourt,641.0,3,0.0345
FoodCourt,756.0,3,0.0345
FoodCourt,106.0,3,0.0345
FoodCourt,782.0,3,0.0345
FoodCourt,297.0,3,0.0345
FoodCourt,302.0,3,0.0345
FoodCourt,126.0,3,0.0345
FoodCourt,173.0,3,0.0345
FoodCourt,914.0,3,0.0345
FoodCourt,442.0,3,0.0345
FoodCourt,140.0,3,0.0345
FoodCourt,355.0,3,0.0345
FoodCourt,313.0,3,0.0345
FoodCourt,382.0,3,0.0345
FoodCourt,69.0,3,0.0345
FoodCourt,1425.0,3,0.0345
FoodCourt,807.0,3,0.0345
FoodCourt,213.0,3,0.0345
FoodCourt,235.0,3,0.0345
FoodCourt,715.0,3,0.0345
FoodCourt,275.0,3,0.0345
FoodCourt,62.0,3,0.0345
FoodCourt,113.0,3,0.0345
FoodCourt,640.0,3,0.0345
FoodCourt,123.0,3,0.0345
FoodCourt,817.0,3,0.0345
FoodCourt,212.0,3,0.0345
FoodCourt,125.0,3,0.0345
FoodCourt,397.0,3,0.0345
FoodCourt,588.0,3,0.0345
FoodCourt,165.0,3,0.0345
FoodCourt,338.0,3,0.0345
FoodCourt,666.0,3,0.0345
FoodCourt,652.0,3,0.0345
FoodCourt,268.0,3,0.0345
FoodCourt,196.0,3,0.0345
FoodCourt,257.0,3,0.0345
FoodCourt,87.0,3,0.0345
FoodCourt,790.0,3,0.0345
FoodCourt,690.0,3,0.0345
FoodCourt,773.0,3,0.0345
FoodCourt,479.0,3,0.0345
FoodCourt,1283.0,3,0.0345
FoodCourt,704.0,3,0.0345
FoodCourt,317.0,3,0.0345
FoodCourt,96.0,3,0.0345
FoodCourt,574.0,3,0.0345
FoodCourt,1376.0,3,0.0345
FoodCourt,747.0,3,0.0345
FoodCourt,714.0,3,0.0345
FoodCourt,108.0,3,0.0345
FoodCourt,370.0,2,0.023
FoodCourt,292.0,2,0.023
FoodCourt,476.0,2,0.023
FoodCourt,2337.0,2,0.023
FoodCourt,489.0,2,0.023
FoodCourt,725.0,2,0.023
FoodCourt,1186.0,2,0.023
FoodCourt,134.0,2,0.023
FoodCourt,4313.0,2,0.023
FoodCourt,726.0,2,0.023
FoodCourt,925.0,2,0.023
FoodCourt,544.0,2,0.023
FoodCourt,746.0,2,0.023
FoodCourt,551.0,2,0.023
FoodCourt,557.0,2,0.023
FoodCourt,477.0,2,0.023
FoodCourt,499.0,2,0.023
FoodCourt,261.0,2,0.023
FoodCourt,4715.0,2,0.023
FoodCourt,400.0,2,0.023
FoodCourt,454.0,2,0.023
FoodCourt,<NULL>,2,0.023
FoodCourt,478.0,2,0.023
FoodCourt,444.0,2,0.023
FoodCourt,823.0,2,0.023
FoodCourt,416.0,2,0.023
FoodCourt,5063.0,2,0.023
FoodCourt,286.0,2,0.023
FoodCourt,1211.0,2,0.023
FoodCourt,440.0,2,0.023
FoodCourt,358.0,2,0.023
FoodCourt,583.0,2,0.023
FoodCourt,769.0,2,0.023
FoodCourt,764.0,2,0.023
FoodCourt,1451.0,2,0.023
FoodCourt,128.0,2,0.023
FoodCourt,88.0,2,0.023
FoodCourt,85.0,2,0.023
FoodCourt,748.0,2,0.023
FoodCourt,326.0,2,0.023
FoodCourt,602.0,2,0.023
FoodCourt,2972.0,2,0.023
FoodCourt,361.0,2,0.023
FoodCourt,354.0,2,0.023
FoodCourt,433.0,2,0.023
FoodCourt,590.0,2,0.023
FoodCourt,1339.0,2,0.023
FoodCourt,593.0,2,0.023
FoodCourt,679.0,2,0.023
FoodCourt,639.0,2,0.023
FoodCourt,329.0,2,0.023
FoodCourt,763.0,2,0.023
FoodCourt,434.0,2,0.023
FoodCourt,1108.0,2,0.023
FoodCourt,1180.0,2,0.023
FoodCourt,776.0,2,0.023
FoodCourt,421.0,2,0.023
FoodCourt,664.0,2,0.023
FoodCourt,804.0,2,0.023
FoodCourt,706.0,2,0.023
FoodCourt,5974.0,2,0.023
FoodCourt,1487.0,2,0.023
FoodCourt,3578.0,2,0.023
FoodCourt,699.0,2,0.023
FoodCourt,3585.0,2,0.023
FoodCourt,220.0,2,0.023
FoodCourt,181.0,2,0.023
FoodCourt,177.0,2,0.023
FoodCourt,752.0,2,0.023
FoodCourt,775.0,2,0.023
FoodCourt,91.0,2,0.023
FoodCourt,692.0,2,0.023
FoodCourt,198.0,2,0.023
FoodCourt,753.0,2,0.023
FoodCourt,2052.0,2,0.023
FoodCourt,120.0,2,0.023
FoodCourt,336.0,2,0.023
FoodCourt,217.0,2,0.023
FoodCourt,630.0,2,0.023
FoodCourt,406.0,2,0.023
FoodCourt,545.0,2,0.023
FoodCourt,1855.0,2,0.023
FoodCourt,494.0,2,0.023
FoodCourt,176.0,2,0.023
FoodCourt,1674.0,2,0.023
FoodCourt,952.0,2,0.023
FoodCourt,377.0,2,0.023
FoodCourt,4209.0,2,0.023
FoodCourt,269.0,2,0.023
FoodCourt,511.0,2,0.023
FoodCourt,463.0,2,0.023
FoodCourt,242.0,2,0.023
FoodCourt,745.0,2,0.023
FoodCourt,360.0,2,0.023
FoodCourt,927.0,2,0.023
FoodCourt,1307.0,2,0.023
FoodCourt,398.0,2,0.023
FoodCourt,171.0,2,0.023
FoodCourt,686.0,2,0.023
FoodCourt,265.0,2,0.023
FoodCourt,1489.0,2,0.023
FoodCourt,456.0,2,0.023
FoodCourt,81.0,2,0.023
FoodCourt,1369.0,2,0.023
FoodCourt,532.0,2,0.023
FoodCourt,392.0,2,0.023
FoodCourt,4387.0,2,0.023
FoodCourt,667.0,2,0.023
FoodCourt,73.0,2,0.023
FoodCourt,839.0,2,0.023
FoodCourt,614.0,2,0.023
FoodCourt,144.0,2,0.023
FoodCourt,651.0,2,0.023
FoodCourt,1828.0,2,0.023
FoodCourt,960.0,2,0.023
FoodCourt,677.0,2,0.023
FoodCourt,117.0,2,0.023
FoodCourt,552.0,2,0.023
FoodCourt,1706.0,2,0.023
FoodCourt,147.0,2,0.023
FoodCourt,98.0,2,0.023
FoodCourt,267.0,2,0.023
FoodCourt,396.0,2,0.023
FoodCourt,723.0,2,0.023
FoodCourt,610.0,2,0.023
FoodCourt,950.0,2,0.023
FoodCourt,623.0,2,0.023
FoodCourt,586.0,2,0.023
FoodCourt,854.0,2,0.023
FoodCourt,757.0,2,0.023
FoodCourt,824.0,2,0.023
FoodCourt,366.0,2,0.023
FoodCourt,802.0,2,0.023
FoodCourt,516.0,2,0.023
FoodCourt,130.0,2,0.023
FoodCourt,996.0,2,0.023
FoodCourt,702.0,2,0.023
FoodCourt,1381.0,2,0.023
FoodCourt,837.0,2,0.023
FoodCourt,548.0,2,0.023
FoodCourt,846.0,2,0.023
FoodCourt,893.0,2,0.023
FoodCourt,1347.0,2,0.023
FoodCourt,680.0,2,0.023
FoodCourt,1284.0,2,0.023
FoodCourt,1725.0,2,0.023
FoodCourt,121.0,2,0.023
FoodCourt,419.0,2,0.023
FoodCourt,632.0,2,0.023
FoodCourt,676.0,2,0.023
FoodCourt,303.0,2,0.023
FoodCourt,158.0,2,0.023
FoodCourt,102.0,2,0.023
FoodCourt,156.0,2,0.023
FoodCourt,371.0,2,0.023
FoodCourt,656.0,2,0.023
FoodCourt,806.0,2,0.023
FoodCourt,1390.0,2,0.023
FoodCourt,2804.0,2,0.023
FoodCourt,596.0,2,0.023
FoodCourt,728.0,2,0.023
FoodCourt,889.0,2,0.023
FoodCourt,350.0,2,0.023
FoodCourt,323.0,2,0.023
FoodCourt,819.0,2,0.023
FoodCourt,453.0,2,0.023
FoodCourt,139.0,2,0.023
FoodCourt,788.0,2,0.023
FoodCourt,3603.0,2,0.023
FoodCourt,115.0,2,0.023
FoodCourt,858.0,2,0.023
FoodCourt,4017.0,2,0.023
FoodCourt,1001.0,2,0.023
FoodCourt,831.0,2,0.023
FoodCourt,611.0,2,0.023
FoodCourt,1337.0,2,0.023
FoodCourt,210.0,2,0.023
FoodCourt,417.0,2,0.023
FoodCourt,239.0,2,0.023
FoodCourt,867.0,2,0.023
FoodCourt,321.0,2,0.023
FoodCourt,307.0,2,0.023
FoodCourt,244.0,2,0.023
FoodCourt,4451.0,2,0.023
FoodCourt,378.0,2,0.023
FoodCourt,1736.0,2,0.023
FoodCourt,3262.0,2,0.023
FoodCourt,791.0,2,0.023
FoodCourt,541.0,2,0.023
FoodCourt,631.0,2,0.023
FoodCourt,145.0,2,0.023
FoodCourt,1127.0,2,0.023
FoodCourt,1028.0,2,0.023
FoodCourt,1095.0,2,0.023
FoodCourt,388.0,2,0.023
FoodCourt,709.0,2,0.023
FoodCourt,687.0,2,0.023
FoodCourt,4754.0,2,0.023
FoodCourt,1234.0,2,0.023
FoodCourt,284.0,2,0.023
FoodCourt,237.0,2,0.023
FoodCourt,3488.0,2,0.023
FoodCourt,530.0,2,0.023
FoodCourt,525.0,2,0.023
FoodCourt,1328.0,2,0.023
FoodCourt,565.0,2,0.023
FoodCourt,1111.0,2,0.023
FoodCourt,178.0,2,0.023
FoodCourt,224.0,2,0.023
FoodCourt,508.0,2,0.023
FoodCourt,190.0,2,0.023
FoodCourt,761.0,2,0.023
FoodCourt,486.0,2,0.023
FoodCourt,439.0,2,0.023
FoodCourt,3863.0,2,0.023
FoodCourt,415.0,2,0.023
FoodCourt,192.0,2,0.023
FoodCourt,78.0,2,0.023
FoodCourt,4224.0,2,0.023
FoodCourt,1311.0,2,0.023
FoodCourt,905.0,2,0.023
FoodCourt,558.0,2,0.023
FoodCourt,670.0,2,0.023
FoodCourt,143.0,2,0.023
FoodCourt,402.0,2,0.023
FoodCourt,271.0,2,0.023
FoodCourt,2506.0,2,0.023
FoodCourt,152.0,2,0.023
FoodCourt,484.0,2,0.023
FoodCourt,410.0,2,0.023
FoodCourt,1249.0,2,0.023
FoodCourt,888.0,2,0.023
FoodCourt,188.0,2,0.023
FoodCourt,146.0,2,0.023
FoodCourt,985.0,2,0.023
FoodCourt,418.0,2,0.023
FoodCourt,597.0,2,0.023
FoodCourt,2344.0,2,0.023
FoodCourt,427.0,2,0.023
FoodCourt,695.0,2,0.023
FoodCourt,856.0,2,0.023
FoodCourt,697.0,2,0.023
FoodCourt,258.0,2,0.023
FoodCourt,164.0,2,0.023
FoodCourt,492.0,2,0.023
FoodCourt,850.0,2,0.023
FoodCourt,974.0,2,0.023
FoodCourt,483.0,2,0.023
FoodCourt,3571.0,2,0.023
FoodCourt,231.0,2,0.023
FoodCourt,233.0,2,0.023
FoodCourt,869.0,2,0.023
FoodCourt,642.0,2,0.023
FoodCourt,293.0,2,0.023
FoodCourt,1428.0,2,0.023
FoodCourt,1073.0,2,0.023
FoodCourt,1119.0,2,0.023
FoodCourt,1794.0,2,0.023
FoodCourt,118.0,2,0.023
FoodCourt,852.0,2,0.023
FoodCourt,150.0,2,0.023
FoodCourt,2390.0,2,0.023
FoodCourt,465.0,2,0.023
FoodCourt,608.0,2,0.023
FoodCourt,111.0,2,0.023
FoodCourt,215.0,2,0.023
FoodCourt,1068.0,2,0.023
FoodCourt,1198.0,2,0.023
FoodCourt,540.0,2,0.023
FoodCourt,587.0,2,0.023
FoodCourt,186.0,2,0.023
FoodCourt,254.0,2,0.023
FoodCourt,251.0,2,0.023
FoodCourt,67.0,2,0.023
FoodCourt,3750.0,2,0.023
FoodCourt,129.0,2,0.023
FoodCourt,1620.0,2,0.023
FoodCourt,1269.0,2,0.023
FoodCourt,865.0,2,0.023
FoodCourt,594.0,2,0.023
FoodCourt,495.0,2,0.023
FoodCourt,787.0,2,0.023
FoodCourt,774.0,2,0.023
FoodCourt,2318.0,2,0.023
FoodCourt,2127.0,2,0.023
FoodCourt,13561.0,2,0.023
FoodCourt,554.0,2,0.023
FoodCourt,16016.0,1,0.0115
FoodCourt,984.0,1,0.0115
FoodCourt,1197.0,1,0.0115
FoodCourt,1632.0,1,0.0115
FoodCourt,3423.0,1,0.0115
FoodCourt,3338.0,1,0.0115
FoodCourt,1202.0,1,0.0115
FoodCourt,445.0,1,0.0115
FoodCourt,9532.0,1,0.0115
FoodCourt,1513.0,1,0.0115
FoodCourt,204.0,1,0.0115
FoodCourt,3479.0,1,0.0115
FoodCourt,471.0,1,0.0115
FoodCourt,1130.0,1,0.0115
FoodCourt,4058.0,1,0.0115
FoodCourt,3953.0,1,0.0115
FoodCourt,8808.0,1,0.0115
FoodCourt,1774.0,1,0.0115
FoodCourt,5450.0,1,0.0115
FoodCourt,566.0,1,0.0115
FoodCourt,3492.0,1,0.0115
FoodCourt,240.0,1,0.0115
FoodCourt,2481.0,1,0.0115
FoodCourt,1739.0,1,0.0115
FoodCourt,1524.0,1,0.0115
FoodCourt,11594.0,1,0.0115
FoodCourt,636.0,1,0.0115
FoodCourt,436.0,1,0.0115
FoodCourt,4372.0,1,0.0115
FoodCourt,6504.0,1,0.0115
FoodCourt,5036.0,1,0.0115
FoodCourt,136.0,1,0.0115
FoodCourt,1975.0,1,0.0115
FoodCourt,1745.0,1,0.0115
FoodCourt,11856.0,1,0.0115
FoodCourt,7636.0,1,0.0115
FoodCourt,1320.0,1,0.0115
FoodCourt,167.0,1,0.0115
FoodCourt,625.0,1,0.0115
FoodCourt,6408.0,1,0.0115
FoodCourt,458.0,1,0.0115
FoodCourt,3707.0,1,0.0115
FoodCourt,924.0,1,0.0115
FoodCourt,1876.0,1,0.0115
FoodCourt,1871.0,1,0.0115
FoodCourt,659.0,1,0.0115
FoodCourt,868.0,1,0.0115
FoodCourt,5436.0,1,0.0115
FoodCourt,822.0,1,0.0115
FoodCourt,1627.0,1,0.0115
FoodCourt,3751.0,1,0.0115
FoodCourt,1644.0,1,0.0115
FoodCourt,2395.0,1,0.0115
FoodCourt,13437.0,1,0.0115
FoodCourt,1145.0,1,0.0115
FoodCourt,792.0,1,0.0115
FoodCourt,3638.0,1,0.0115
FoodCourt,6921.0,1,0.0115
FoodCourt,2237.0,1,0.0115
FoodCourt,24.5,1,0.0115
FoodCourt,645.0,1,0.0115
FoodCourt,1289.0,1,0.0115
FoodCourt,1857.0,1,0.0115
FoodCourt,4485.0,1,0.0115
FoodCourt,1849.0,1,0.0115
FoodCourt,1770.0,1,0.0115
FoodCourt,2593.0,1,0.0115
FoodCourt,229.0,1,0.0115
FoodCourt,357.0,1,0.0115
FoodCourt,2532.0,1,0.0115
FoodCourt,1427.0,1,0.0115
FoodCourt,571.0,1,0.0115
FoodCourt,4176.0,1,0.0115
FoodCourt,4978.0,1,0.0115
FoodCourt,1012.0,1,0.0115
FoodCourt,805.0,1,0.0115
FoodCourt,527.5,1,0.0115
FoodCourt,2110.0,1,0.0115
FoodCourt,912.0,1,0.0115
FoodCourt,1126.0,1,0.0115
FoodCourt,310.0,1,0.0115
FoodCourt,1801.0,1,0.0115
FoodCourt,1332.0,1,0.0115
FoodCourt,3862.0,1,0.0115
FoodCourt,2427.0,1,0.0115
FoodCourt,3477.0,1,0.0115
FoodCourt,2002.0,1,0.0115
FoodCourt,2421.0,1,0.0115
FoodCourt,1264.0,1,0.0115
FoodCourt,3857.0,1,0.0115
FoodCourt,798.0,1,0.0115
FoodCourt,1014.0,1,0.0115
FoodCourt,2191.0,1,0.0115
FoodCourt,485.0,1,0.0115
FoodCourt,425.0,1,0.0115
FoodCourt,246.0,1,0.0115
FoodCourt,3126.0,1,0.0115
FoodCourt,1000.0,1,0.0115
FoodCourt,2809.0,1,0.0115
FoodCourt,4780.0,1,0.0115
FoodCourt,1184.0,1,0.0115
FoodCourt,698.0,1,0.0115
FoodCourt,3259.0,1,0.0115
FoodCourt,9641.0,1,0.0115
FoodCourt,2674.0,1,0.0115
FoodCourt,2583.0,1,0.0115
FoodCourt,968.0,1,0.0115
FoodCourt,1204.0,1,0.0115
FoodCourt,2910.0,1,0.0115
FoodCourt,174.0,1,0.0115
FoodCourt,874.0,1,0.0115
FoodCourt,12563.0,1,0.0115
FoodCourt,7996.0,1,0.0115
FoodCourt,394.0,1,0.0115
FoodCourt,816.0,1,0.0115
FoodCourt,4199.333333333333,1,0.0115
FoodCourt,1541.0,1,0.0115
FoodCourt,3815.0,1,0.0115
FoodCourt,751.0,1,0.0115
FoodCourt,4634.0,1,0.0115
FoodCourt,553.0,1,0.0115
FoodCourt,4198.0,1,0.0115
FoodCourt,207.0,1,0.0115
FoodCourt,16856.0,1,0.0115
FoodCourt,721.0,1,0.0115
FoodCourt,7964.0,1,0.0115
FoodCourt,909.0,1,0.0115
FoodCourt,339.0,1,0.0115
FoodCourt,938.0,1,0.0115
FoodCourt,528.0,1,0.0115
FoodCourt,2324.0,1,0.0115
FoodCourt,1309.0,1,0.0115
FoodCourt,599.0,1,0.0115
FoodCourt,10073.0,1,0.0115
FoodCourt,1065.0,1,0.0115
FoodCourt,290.0,1,0.0115
FoodCourt,2868.0,1,0.0115
FoodCourt,8948.0,1,0.0115
FoodCourt,2891.0,1,0.0115
FoodCourt,464.0,1,0.0115
FoodCourt,197.0,1,0.0115
FoodCourt,3625.0,1,0.0115
FoodCourt,712.0,1,0.0115
FoodCourt,10029.0,1,0.0115
FoodCourt,2077.0,1,0.0115
FoodCourt,2171.0,1,0.0115
FoodCourt,3448.0,1,0.0115
FoodCourt,6819.0,1,0.0115
FoodCourt,3208.0,1,0.0115
FoodCourt,1750.0,1,0.0115
FoodCourt,1146.0,1,0.0115
FoodCourt,1018.0,1,0.0115
FoodCourt,1719.0,1,0.0115
FoodCourt,3299.0,1,0.0115
FoodCourt,1015.0,1,0.0115
FoodCourt,634.0,1,0.0115
FoodCourt,8160.0,1,0.0115
FoodCourt,4619.0,1,0.0115
FoodCourt,737.0,1,0.0115
FoodCourt,967.0,1,0.0115
FoodCourt,443.0,1,0.0115
FoodCourt,199.0,1,0.0115
FoodCourt,381.0,1,0.0115
FoodCourt,696.0,1,0.0115
FoodCourt,8246.0,1,0.0115
FoodCourt,5600.0,1,0.0115
FoodCourt,1808.0,1,0.0115
FoodCourt,2030.0,1,0.0115
FoodCourt,491.0,1,0.0115
FoodCourt,1301.0,1,0.0115
FoodCourt,1605.0,1,0.0115
FoodCourt,4298.0,1,0.0115
FoodCourt,9307.0,1,0.0115
FoodCourt,6634.0,1,0.0115
FoodCourt,2449.0,1,0.0115
FoodCourt,1769.0,1,0.0115
FoodCourt,8162.0,1,0.0115
FoodCourt,585.0,1,0.0115
FoodCourt,288.0,1,0.0115
FoodCourt,475.0,1,0.0115
FoodCourt,1583.0,1,0.0115
FoodCourt,796.0,1,0.0115
FoodCourt,5203.0,1,0.0115
FoodCourt,2113.0,1,0.0115
FoodCourt,890.0,1,0.0115
FoodCourt,2979.0,1,0.0115
FoodCourt,3023.0,1,0.0115
FoodCourt,468.0,1,0.0115
FoodCourt,3991.0,1,0.0115
FoodCourt,838.0,1,0.0115
FoodCourt,3514.0,1,0.0115
FoodCourt,786.0,1,0.0115
